date,5. volume,4. close,2. high,1. open,3. low
2000-01-03,9617400.0,475.0,475.9,442.9,429.5
2000-01-04,17467200.0,443.0,500.1,464.5,442.0
2000-01-05,20798700.0,420.3,431.1,430.5,402.0
2000-01-06,17825300.0,368.2,413.0,406.3,361.0
2000-01-07,12249900.0,407.3,408.0,366.8,363.0
2000-01-10,15255600.0,436.1,451.3,432.5,420.0
2000-01-11,18940400.0,397.4,426.3,423.9,392.0
2000-01-12,18525000.0,357.6,394.0,389.9,355.0
2000-01-13,16940700.0,346.9,377.4,366.5,338.0
2000-01-14,12308200.0,353.0,363.0,355.0,342.0
2000-01-18,7676500.0,341.2,350.0,341.8,335.0
2000-01-19,7950000.0,364.0,367.4,336.0,336.0
2000-01-20,7837400.0,351.9,371.9,369.1,349.0
2000-01-21,4403800.0,351.9,360.0,355.0,348.0
2000-01-24,6332300.0,324.3,360.5,353.9,324.0
2000-01-25,8647000.0,345.6,347.0,327.0,316.3
2000-01-26,4851000.0,328.6,343.5,340.5,327.8
2000-01-27,4805500.0,337.4,339.6,332.4,325.1
2000-01-28,9164000.0,313.5,343.0,333.6,309.6
2000-01-31,8956300.0,322.1,322.1,310.0,303.0
2000-02-01,6172700.0,317.4,329.8,319.4,310.8
2000-02-02,6703300.0,328.0,336.8,321.5,317.0
2000-02-03,9764400.0,360.3,361.0,334.9,334.0
2000-02-04,8454000.0,353.5,372.5,364.5,348.0
2000-02-07,5216100.0,354.0,363.0,354.0,347.0
2000-02-08,7457200.0,373.1,379.8,359.0,358.5
2000-02-09,5979700.0,362.3,377.3,370.0,360.1
2000-02-10,4495100.0,365.0,366.0,362.5,353.9
2000-02-11,4789600.0,342.7,365.0,363.9,341.8
2000-02-14,3791400.0,165.8,173.8,173.5,163.8
2000-02-15,10661600.0,170.0,173.3,166.4,156.0
2000-02-16,6410200.0,161.6,170.0,168.3,160.0
2000-02-17,6217300.0,163.2,168.0,165.9,161.1
2000-02-18,7321900.0,156.1,163.2,161.3,155.4
2000-02-22,8845800.0,153.8,157.0,156.9,148.9
2000-02-23,10594900.0,166.2,170.0,153.6,153.0
2000-02-24,8253000.0,168.1,171.6,166.5,159.3
2000-02-25,5709000.0,165.2,170.3,165.6,160.3
2000-02-28,9210100.0,161.9,164.8,161.5,152.1
2000-02-29,6842300.0,159.7,169.9,164.4,155.5
2000-03-01,5826100.0,158.5,163.0,157.5,155.0
2000-03-02,6113700.0,154.9,159.0,155.0,152.0
2000-03-03,7486000.0,158.0,163.0,156.0,151.0
2000-03-06,12783200.0,171.6,177.0,163.5,162.7
2000-03-07,8672800.0,171.4,180.4,174.9,168.0
2000-03-08,8617200.0,177.0,181.0,174.6,165.0
2000-03-09,8702500.0,183.3,185.0,175.3,172.0
2000-03-10,5203300.0,178.1,183.0,181.2,175.6
2000-03-13,6016500.0,175.8,180.5,168.1,168.0
2000-03-14,7884300.0,168.8,183.5,178.5,167.9
2000-03-15,8821700.0,158.5,169.0,168.8,155.1
2000-03-16,8524600.0,170.2,173.0,159.2,156.1
2000-03-17,5611500.0,171.1,176.9,169.1,169.0
2000-03-20,5202300.0,172.0,175.4,172.2,165.3
2000-03-21,12616400.0,191.8,193.3,173.0,168.6
2000-03-22,15692300.0,197.2,205.6,189.4,188.5
2000-03-23,7354300.0,191.0,203.0,193.4,190.5
2000-03-24,7353900.0,194.0,201.0,193.5,188.0
2000-03-27,8639900.0,200.8,205.2,195.6,195.0
2000-03-28,6415100.0,195.0,200.8,197.0,193.9
2000-03-29,10770000.0,177.1,196.5,193.4,174.0
2000-03-30,15866900.0,169.5,187.1,172.5,160.3
2000-03-31,10842000.0,171.4,177.3,175.3,160.5
2000-04-03,9661400.0,160.1,173.0,168.8,159.4
2000-04-04,21264200.0,167.4,171.0,165.0,132.8
2000-04-05,13685900.0,165.6,169.9,161.6,158.5
2000-04-06,27995200.0,154.0,171.3,161.9,150.7
2000-04-07,12480200.0,151.1,160.0,156.8,150.8
2000-04-10,12430000.0,141.9,153.0,152.9,141.0
2000-04-11,14426800.0,133.5,142.5,139.6,132.5
2000-04-12,14847900.0,136.2,142.9,136.6,130.5
2000-04-13,14011400.0,136.1,148.1,137.0,134.3
2000-04-14,19233400.0,116.0,135.3,130.3,111.0
2000-04-17,22234300.0,114.4,122.9,111.3,108.0
2000-04-18,12433000.0,126.7,127.5,116.9,115.5
2000-04-19,9163000.0,125.9,134.5,129.4,122.0
2000-04-20,6550300.0,123.1,129.1,126.5,119.5
2000-04-24,10987400.0,113.9,119.1,115.0,107.0
2000-04-25,12578200.0,124.5,127.0,118.8,118.8
2000-04-26,8334800.0,119.1,126.9,124.5,118.3
2000-04-27,9982100.0,124.3,126.8,114.5,113.0
2000-04-28,7454400.0,130.3,131.9,126.8,125.5
2000-05-01,7126200.0,130.9,136.0,134.8,126.9
