date,5. volume,4. close,2. high,1. open,3. low
2000-01-03,16117600.0,89.38,89.56,81.5,80.0
2000-01-04,17487400.0,81.94,91.5,85.38,81.75
2000-01-05,38457400.0,71.75,75.13,70.75,69.63
2000-01-06,18752000.0,65.56,72.69,71.31,64.0
2000-01-07,10505400.0,69.56,70.5,67.0,66.19
2000-01-10,14757900.0,69.19,72.63,72.56,65.56
2000-01-11,10532700.0,66.75,70.0,66.88,65.0
2000-01-12,10804500.0,63.56,68.0,67.88,63.0
2000-01-13,10448100.0,65.94,67.19,64.94,63.13
2000-01-14,6853600.0,64.25,68.5,66.75,64.0
2000-01-18,5384900.0,64.13,65.19,63.44,63.0
2000-01-19,8245500.0,66.81,67.5,64.13,63.0
2000-01-20,5978000.0,64.75,67.0,66.94,63.94
2000-01-21,11461900.0,62.06,64.63,64.63,60.0
2000-01-24,29170200.0,70.13,73.38,67.56,67.5
2000-01-25,9434100.0,69.25,71.25,70.0,66.0
2000-01-26,6558000.0,64.81,70.0,68.63,64.75
2000-01-27,6784000.0,66.94,67.75,65.19,64.63
2000-01-28,13777900.0,61.69,66.44,65.0,60.0
2000-01-31,10697900.0,64.56,64.75,60.38,58.44
2000-02-01,13404600.0,67.44,70.63,67.5,64.38
2000-02-02,14025900.0,69.44,72.25,67.94,67.75
2000-02-03,43750000.0,84.19,85.94,81.13,77.38
2000-02-04,11023000.0,78.56,82.75,82.75,78.0
2000-02-07,10129000.0,75.0,76.88,76.19,73.13
2000-02-08,19472800.0,83.13,84.0,74.0,73.44
2000-02-09,9580400.0,80.25,83.73,80.55,80.02
2000-02-10,9979600.0,76.19,79.88,78.5,75.5
2000-02-11,8309000.0,76.19,79.13,77.13,75.5
2000-02-14,5169700.0,74.44,75.75,75.69,73.56
2000-02-15,6424500.0,73.81,76.19,73.44,70.63
2000-02-16,4260200.0,70.69,73.44,72.75,70.63
2000-02-17,6129600.0,69.0,71.31,71.25,68.0
2000-02-18,8726400.0,64.75,69.0,68.44,63.88
2000-02-22,5685800.0,63.56,66.5,64.94,63.06
2000-02-23,8441200.0,70.44,71.75,64.88,64.69
2000-02-24,5869300.0,68.44,71.38,70.56,65.63
2000-02-25,4870500.0,69.13,69.38,67.44,65.19
2000-02-28,5057700.0,65.75,67.19,66.56,64.13
2000-02-29,7148500.0,68.88,68.97,66.0,65.88
2000-03-01,5576700.0,65.88,68.5,67.63,65.0
2000-03-02,7980100.0,62.56,65.0,64.94,62.19
2000-03-03,6059500.0,62.5,64.75,63.25,62.06
2000-03-06,7665800.0,63.94,67.25,62.88,62.81
2000-03-07,4178800.0,63.5,65.81,64.88,62.13
2000-03-08,5940700.0,63.63,64.75,63.25,60.56
2000-03-09,8312500.0,68.81,69.0,63.0,62.19
2000-03-10,3713500.0,66.88,68.53,67.25,65.0
2000-03-13,5634300.0,65.31,66.63,64.0,63.0
2000-03-14,4805300.0,65.63,66.94,66.06,63.38
2000-03-15,6082700.0,63.75,65.13,64.75,62.0
2000-03-16,9703100.0,66.25,66.38,62.25,60.0
2000-03-17,5298500.0,64.81,66.38,66.06,64.5
2000-03-20,5813500.0,64.19,64.5,63.5,62.38
2000-03-21,17082900.0,72.38,73.0,65.13,62.25
2000-03-22,11566400.0,70.69,74.0,70.88,69.25
2000-03-23,5442100.0,67.69,70.94,69.5,67.5
2000-03-24,9746000.0,67.69,67.69,67.69,67.69
2000-03-27,4748600.0,73.13,75.13,72.25,71.75
2000-03-28,5197600.0,70.13,72.75,72.38,69.47
2000-03-29,5886500.0,66.25,69.88,69.5,65.0
2000-03-30,5034000.0,66.5,67.38,64.5,64.0
2000-03-31,5115500.0,67.0,67.13,66.75,63.0
2000-04-03,4865400.0,63.56,65.69,65.44,62.0
2000-04-04,14318000.0,63.94,65.44,62.88,55.75
2000-04-05,4900000.0,62.19,64.94,61.75,60.5
2000-04-06,6032700.0,64.25,65.5,63.44,61.88
2000-04-07,6052300.0,67.56,68.63,65.13,64.13
2000-04-10,4523600.0,63.38,68.44,67.25,63.25
2000-04-11,4706600.0,63.38,66.0,62.5,61.25
2000-04-12,8695500.0,56.38,64.38,64.0,56.25
2000-04-13,10679000.0,48.0,58.75,57.88,47.94
2000-04-14,20074500.0,46.88,52.38,47.88,40.81
2000-04-17,12180900.0,47.06,52.0,45.25,44.63
2000-04-18,10735000.0,54.94,56.25,47.63,47.13
2000-04-19,5373800.0,53.44,55.31,55.31,51.69
2000-04-20,4925300.0,52.38,53.69,53.38,49.88
2000-04-24,6693300.0,49.81,51.56,49.38,44.88
2000-04-25,7150400.0,52.44,54.13,51.81,50.25
2000-04-26,12006400.0,53.5,57.44,53.31,52.45
2000-04-27,11266000.0,52.88,55.25,49.31,48.5
2000-04-28,6833800.0,55.19,55.63,54.0,53.13
2000-05-01,8578500.0,59.94,60.31,56.0,55.25
2000-05-02,7427900.0,56.13,60.0,59.19,55.88
2000-05-03,5424800.0,54.13,56.56,55.25,53.0
2000-05-04,4725200.0,55.06,56.5,54.25,53.13
2000-05-05,4062100.0,58.5,58.63,54.63,54.13
2000-05-08,3950000.0,56.02,59.25,56.81,55.44
2000-05-09,4551800.0,56.25,57.75,56.5,53.0
2000-05-10,8711500.0,53.31,55.38,54.53,49.0
2000-05-11,5580800.0,54.88,55.75,53.94,50.94
2000-05-12,3969600.0,53.75,56.5,54.69,53.13
2000-05-15,4125400.0,56.06,56.5,53.63,50.88
2000-05-16,6432200.0,59.06,59.88,57.13,56.0
2000-05-17,6998600.0,61.0,62.38,57.19,57.0
2000-05-18,4727000.0,55.38,60.88,60.38,55.13
2000-05-19,4610900.0,52.63,55.75,54.63,52.25
2000-05-22,8272800.0,51.88,53.13,53.0,46.88
2000-05-23,5837200.0,46.69,51.88,50.5,46.5
2000-05-24,11666600.0,48.56,49.75,46.44,40.44
2000-05-25,4919500.0,45.5,50.0,49.5,45.5
2000-05-26,3621000.0,46.5,47.75,46.25,44.0
2000-05-30,5613200.0,51.75,51.88,47.31,47.31
2000-05-31,6882000.0,49.94,52.25,50.75,49.63
2000-06-01,7622200.0,50.19,51.13,48.88,46.38
2000-06-02,8322500.0,57.88,58.13,52.38,52.25
2000-06-05,6813200.0,54.5,56.25,55.03,52.5
2000-06-06,4853100.0,50.56,54.56,54.0,50.25
2000-06-07,3841200.0,51.81,52.19,51.88,50.13
2000-06-08,3040300.0,51.88,53.44,52.56,51.63
2000-06-09,1922300.0,52.19,53.25,51.94,51.88
2000-06-12,3986000.0,48.44,52.19,52.19,47.0
2000-06-13,4788500.0,49.0,49.5,48.19,46.25
2000-06-14,5020500.0,46.44,49.88,49.31,46.0
2000-06-15,3554700.0,46.31,47.94,47.0,45.31
2000-06-16,3070900.0,46.0,47.44,47.25,45.38
2000-06-19,5151500.0,45.31,45.88,45.5,43.5
2000-06-20,6199100.0,46.13,48.63,45.88,45.13
2000-06-21,3573300.0,46.06,46.94,45.44,45.06
2000-06-22,10516100.0,42.0,46.44,46.19,41.63
2000-06-23,51838200.0,33.88,37.0,36.63,32.47
2000-06-26,21076400.0,33.94,35.33,35.31,32.81
2000-06-27,17638200.0,36.5,38.5,33.75,33.5
2000-06-28,14874300.0,37.88,39.94,36.88,36.13
2000-06-29,8986500.0,37.13,38.5,37.13,36.13
2000-06-30,6451900.0,36.31,37.25,37.0,35.5
2000-07-03,1762400.0,37.0,37.5,36.69,36.5
2000-07-05,4213600.0,36.5,38.5,37.0,36.38
2000-07-06,6767100.0,36.06,37.38,36.88,34.75
2000-07-07,3870600.0,36.13,37.0,36.13,35.25
2000-07-10,4240600.0,35.06,36.38,36.38,35.0
2000-07-11,9896500.0,33.13,35.25,35.19,32.63
2000-07-12,11265900.0,35.06,36.13,35.44,34.25
2000-07-13,8597500.0,35.0,36.0,35.63,34.88
2000-07-14,22436100.0,42.63,43.2,36.38,36.31
2000-07-17,6530000.0,41.13,43.94,42.88,40.25
2000-07-18,7958400.0,41.75,43.63,40.13,39.5
2000-07-19,4743700.0,40.88,41.56,41.5,39.0
2000-07-20,6945700.0,40.31,43.38,40.94,39.5
2000-07-21,4712900.0,41.13,42.5,40.44,40.44
2000-07-24,5778200.0,38.75,41.38,41.06,38.06
2000-07-25,27752500.0,37.63,38.75,36.75,33.25
2000-07-26,15547800.0,36.06,36.72,35.06,34.06
2000-07-27,23579300.0,31.38,32.0,31.44,29.75
2000-07-28,12447000.0,30.0,32.13,31.44,29.0
2000-07-31,9478800.0,30.13,30.25,30.06,27.88
2000-08-01,8156400.0,30.25,32.25,30.63,30.25
2000-08-02,4952900.0,30.81,32.0,30.25,30.22
2000-08-03,5144100.0,31.5,31.75,29.44,29.31
2000-08-04,4871100.0,32.5,34.19,31.94,31.5
2000-08-07,4403100.0,33.81,34.25,32.0,31.63
2000-08-08,5050600.0,32.94,33.38,33.25,32.44
2000-08-09,8874400.0,30.88,32.38,32.38,30.38
2000-08-10,6073000.0,30.44,31.75,31.5,29.75
2000-08-11,9116200.0,33.69,34.0,30.5,30.31
2000-08-14,6217200.0,34.88,35.19,33.5,32.69
2000-08-15,8497200.0,37.56,38.31,34.63,34.38
2000-08-16,9833200.0,38.75,39.88,37.56,37.56
2000-08-17,4974100.0,38.25,39.06,38.0,36.88
2000-08-18,7371100.0,39.0,40.13,39.25,38.94
2000-08-21,4037500.0,37.5,39.88,39.09,36.5
2000-08-22,3508200.0,36.5,38.19,38.13,36.06
2000-08-23,4721300.0,38.81,39.5,36.38,35.0
2000-08-24,4719000.0,39.38,40.5,39.56,38.81
2000-08-25,2708600.0,39.94,40.06,39.13,38.56
2000-08-28,9178500.0,39.13,42.5,38.81,38.56
2000-08-29,4521100.0,39.63,40.88,39.5,38.88
2000-08-30,12919600.0,42.94,43.97,42.38,42.0
2000-08-31,4616300.0,41.5,43.19,43.13,41.44
2000-09-01,3347100.0,41.5,42.5,42.13,41.0
2000-09-05,10168200.0,45.69,46.31,40.94,40.25
2000-09-06,14263200.0,45.88,49.63,47.25,45.69
2000-09-07,7406200.0,43.5,47.0,46.81,43.0
2000-09-08,5088900.0,42.94,45.0,44.06,42.5
2000-09-11,5447100.0,42.38,45.22,42.63,42.19
2000-09-12,3821500.0,42.69,44.19,43.38,42.25
2000-09-13,4085000.0,42.44,43.13,41.31,41.0
2000-09-14,6963500.0,44.88,46.0,44.19,43.75
2000-09-15,6180200.0,43.63,45.44,45.38,42.88
2000-09-18,4445200.0,42.81,44.63,43.5,41.88
2000-09-19,7230800.0,40.75,42.75,42.06,39.13
2000-09-20,9744800.0,37.5,40.5,40.44,37.38
2000-09-21,7425600.0,40.06,40.5,37.44,37.25
2000-09-22,5996200.0,41.44,42.13,38.38,38.31
2000-09-25,5459900.0,40.38,42.56,41.22,40.0
2000-09-26,4260400.0,39.75,41.13,40.63,39.56
2000-09-27,10030900.0,37.88,39.63,38.69,35.5
2000-09-28,5857900.0,40.0,40.25,37.31,37.13
2000-09-29,6517100.0,38.44,41.25,39.0,37.63
2000-10-02,5477700.0,35.88,38.44,38.19,35.25
2000-10-03,5379900.0,35.06,37.25,36.75,35.0
2000-10-04,7841100.0,36.0,37.06,33.44,32.5
2000-10-05,6966300.0,33.56,36.63,35.19,32.0
2000-10-06,8871100.0,31.56,33.25,32.5,30.19
2000-10-09,12727500.0,30.06,30.56,30.25,27.38
2000-10-10,7265500.0,30.44,32.72,29.75,28.88
2000-10-11,7889700.0,27.81,30.25,27.94,27.63
2000-10-12,8032600.0,25.13,28.81,28.38,24.63
2000-10-13,7633400.0,28.44,28.88,24.25,23.5
2000-10-16,7147700.0,24.31,28.31,28.13,24.13
2000-10-17,15140500.0,21.94,25.19,24.88,20.88
2000-10-18,18788700.0,25.13,25.38,19.88,19.38
2000-10-19,10874900.0,27.75,28.13,26.56,24.19
2000-10-20,11621900.0,30.81,31.25,27.69,27.13
2000-10-23,10199600.0,30.0,30.38,29.69,27.63
2000-10-24,13676600.0,29.56,33.88,29.88,28.81
2000-10-25,28572900.0,31.88,36.5,34.0,31.75
2000-10-26,17825500.0,36.88,37.5,32.19,31.0
2000-10-27,12370700.0,35.63,37.5,33.94,33.88
2000-10-30,12510200.0,32.88,34.38,33.06,30.27
2000-10-31,9919500.0,36.63,36.88,32.69,32.06
2000-11-01,11099200.0,37.38,40.0,35.81,35.69
2000-11-02,6989700.0,39.75,39.88,38.06,37.5
2000-11-03,5962400.0,37.56,40.88,39.0,36.88
2000-11-06,6444600.0,36.56,38.63,38.56,34.75
2000-11-07,5495300.0,36.94,39.44,36.5,35.56
2000-11-08,5835300.0,33.88,37.0,36.0,33.25
2000-11-09,7169600.0,31.25,33.0,32.69,29.88
2000-11-10,5255600.0,30.06,31.88,30.75,30.0
2000-11-13,8377500.0,27.81,30.11,28.81,27.44
2000-11-14,7837900.0,28.94,29.88,28.75,25.75
2000-11-15,5263200.0,29.5,30.81,28.63,28.44
2000-11-16,4134800.0,27.81,30.5,28.69,27.75
2000-11-17,4996000.0,27.44,29.63,28.0,26.88
2000-11-20,6438300.0,25.81,27.94,26.0,25.0
2000-11-21,6197500.0,24.25,26.88,26.63,23.63
2000-11-22,11877100.0,25.19,27.5,23.88,22.13
2000-11-24,7639300.0,28.94,29.13,26.42,26.06
2000-11-27,6411400.0,28.0,30.75,29.75,27.0
2000-11-28,11327500.0,25.03,26.19,26.0,24.63
2000-11-29,11463200.0,26.94,27.5,25.13,24.25
2000-11-30,13123500.0,24.69,26.19,24.75,22.88
2000-12-01,7757400.0,24.63,26.75,24.94,23.0
2000-12-04,8255500.0,26.56,27.19,25.19,23.25
2000-12-05,9969900.0,25.38,27.63,27.13,24.75
2000-12-06,8825800.0,23.63,26.0,24.69,23.63
2000-12-07,10647500.0,21.38,23.44,23.06,20.13
2000-12-08,12969800.0,23.44,24.69,23.31,21.25
2000-12-11,10904200.0,25.31,26.13,22.88,21.75
2000-12-12,7306800.0,25.88,27.5,24.5,24.31
2000-12-13,6281800.0,23.75,26.63,26.56,23.5
2000-12-14,7020800.0,22.69,24.69,24.06,22.59
2000-12-15,8713700.0,22.88,24.25,22.25,22.0
2000-12-18,16035200.0,19.88,21.19,20.75,18.94
2000-12-19,13218500.0,18.25,20.88,20.31,17.38
2000-12-20,22050700.0,16.69,17.88,16.19,15.63
2000-12-21,8851400.0,15.19,17.75,16.38,14.88
2000-12-22,9387000.0,15.56,16.55,15.31,15.25
2000-12-26,9012800.0,16.94,18.5,16.31,16.25
2000-12-27,6598800.0,16.88,17.44,16.0,15.56
2000-12-28,8455600.0,17.38,18.25,16.63,16.63
2000-12-29,9849700.0,15.56,17.13,16.75,15.0
2001-01-02,9203500.0,13.88,16.0,15.81,13.63
2001-01-03,14680400.0,17.56,17.88,13.63,13.56
2001-01-04,10620500.0,15.5,17.56,17.0,15.44
2001-01-05,8798800.0,14.56,15.88,15.5,13.56
2001-01-08,10444700.0,14.94,15.56,14.44,13.75
2001-01-09,23455200.0,16.38,16.63,14.56,14.56
2001-01-10,11002500.0,16.5,17.0,15.84,15.56
2001-01-11,12756600.0,17.0,17.31,15.75,15.63
2001-01-12,8434200.0,17.69,18.5,17.34,17.13
2001-01-16,6017000.0,18.06,18.38,18.31,17.25
2001-01-17,9166000.0,18.38,19.56,18.88,17.75
2001-01-18,4115800.0,19.5,19.5,18.38,17.94
2001-01-19,6177500.0,19.94,20.38,20.38,18.69
2001-01-22,4398600.0,18.5,19.94,19.5,18.5
2001-01-23,4744300.0,18.95,19.31,18.38,18.25
2001-01-24,13848100.0,21.88,22.38,19.19,19.0
2001-01-25,7066400.0,19.0,21.75,21.69,19.0
2001-01-26,5094600.0,19.5,20.5,18.94,18.88
2001-01-29,7713000.0,20.13,20.75,19.13,18.81
2001-01-30,12273300.0,18.94,20.69,20.56,18.67
2001-01-31,20475800.0,17.31,19.56,18.94,17.06
2001-02-01,9468700.0,16.25,17.19,17.19,15.75
2001-02-02,12101100.0,14.38,16.19,16.13,14.25
2001-02-05,9189800.0,14.44,14.94,14.63,14.31
2001-02-06,19075900.0,15.81,15.88,13.81,13.56
2001-02-07,7567900.0,15.0,15.81,15.19,14.56
2001-02-08,5295200.0,14.38,15.88,15.31,14.38
2001-02-09,7454000.0,13.38,14.75,14.31,13.38
2001-02-12,5295300.0,14.5,15.0,14.13,13.7
2001-02-13,4795400.0,13.75,15.06,15.0,13.75
2001-02-14,8123400.0,14.44,14.75,14.13,13.5
2001-02-15,16384500.0,14.5,14.63,13.5,13.5
2001-02-16,6490600.0,13.69,14.13,13.63,13.31
2001-02-20,6589100.0,12.5,13.69,13.63,12.44
2001-02-21,7552600.0,11.94,12.5,12.25,11.31
2001-02-22,8249200.0,11.94,12.13,12.0,11.38
2001-02-23,5149900.0,11.81,12.06,11.88,11.06
2001-02-26,6229100.0,11.94,12.25,12.06,11.5
2001-02-27,7732600.0,11.75,12.13,11.81,11.63
2001-02-28,14629800.0,10.19,11.75,11.25,9.938
2001-03-01,10996700.0,10.44,10.69,9.875,9.594
2001-03-02,7545600.0,10.0,10.63,10.03,10.0
2001-03-05,23500700.0,12.63,13.06,12.38,11.5
2001-03-06,23191500.0,11.88,14.0,13.08,11.25
2001-03-07,10644100.0,12.25,12.56,11.94,11.44
2001-03-08,4957600.0,11.69,12.0,11.94,11.63
2001-03-09,8856700.0,12.25,12.5,11.44,11.38
2001-03-12,5716500.0,10.63,11.69,11.38,10.5
2001-03-13,3330700.0,11.0,11.06,10.81,10.5
2001-03-14,3124400.0,10.63,10.94,10.25,10.13
2001-03-15,5824900.0,10.88,11.44,11.38,10.81
2001-03-16,6984200.0,11.0,11.06,10.63,10.25
2001-03-19,6774500.0,10.5,11.31,11.19,10.13
2001-03-20,6294700.0,10.25,11.5,10.56,10.13
2001-03-21,5506600.0,10.0,10.44,10.38,10.0
2001-03-22,6594600.0,10.19,10.25,10.06,9.563
2001-03-23,3754400.0,10.19,10.81,10.56,9.938
2001-03-26,6850600.0,10.94,11.29,10.7,10.62
2001-03-27,5603200.0,11.64,11.8,10.92,10.51
2001-03-28,3386900.0,10.8,11.16,11.1,10.75
2001-03-29,4638400.0,10.0,11.03,10.57,10.0
2001-03-30,3558400.0,10.23,10.84,10.12,9.91
2001-04-02,8803900.0,9.1,10.53,10.33,8.5
2001-04-03,4865700.0,8.63,9.15,8.71,8.5
2001-04-04,5708100.0,8.4,9.0,8.57,8.1
2001-04-05,5424200.0,9.12,9.3,9.02,8.72
2001-04-06,5281100.0,8.37,8.9,8.9,8.2
2001-04-09,23405700.0,11.18,11.9,11.84,10.7
2001-04-10,18860400.0,12.01,13.5,11.24,11.2
2001-04-11,13421800.0,13.32,13.65,13.1,12.18
2001-04-12,11530000.0,14.67,15.01,13.05,13.0
2001-04-16,6310100.0,14.03,14.54,14.5,13.65
2001-04-17,5073500.0,14.74,14.87,13.81,13.75
2001-04-18,19555000.0,16.54,18.16,15.66,15.55
2001-04-19,8742600.0,15.99,16.9,16.9,15.69
2001-04-20,8522100.0,15.78,16.2,15.62,14.97
2001-04-23,11689600.0,16.2,17.46,16.39,16.02
2001-04-24,7082600.0,15.68,16.8,16.44,15.48
2001-04-25,9317100.0,16.09,16.1,15.69,14.6
2001-04-26,5960600.0,15.43,16.5,16.25,15.0
2001-04-27,4446000.0,15.27,15.73,15.72,15.02
2001-04-30,5780300.0,15.78,16.9,15.63,15.59
2001-05-01,5107900.0,16.89,17.0,15.9,15.8
2001-05-02,7497200.0,17.11,17.43,17.14,16.84
2001-05-03,5010000.0,16.75,17.0,16.83,16.25
2001-05-04,6584500.0,17.56,17.6,16.35,15.93
2001-05-07,5083700.0,16.92,17.53,17.36,16.51
2001-05-08,7191500.0,16.18,16.49,16.28,15.6
2001-05-09,4671000.0,15.01,15.66,15.55,15.0
2001-05-10,5012600.0,14.62,15.64,15.4,14.6
2001-05-11,3486900.0,14.68,14.8,14.55,14.0
2001-05-14,6194200.0,13.33,14.53,14.53,13.16
2001-05-15,6131200.0,13.54,14.3,13.35,13.14
2001-05-16,7279000.0,14.13,14.38,13.45,13.1
2001-05-17,6755400.0,14.78,15.0,14.09,14.03
2001-05-18,5071800.0,14.72,15.0,14.83,14.5
2001-05-21,7232400.0,16.38,16.42,14.95,14.75
2001-05-22,7309000.0,16.25,17.0,16.79,15.9
2001-05-23,8926500.0,15.6,16.8,16.2,15.12
2001-05-24,5334900.0,16.75,16.75,15.71,15.25
2001-05-25,6928700.0,17.09,17.53,16.65,16.37
2001-05-29,9394900.0,17.22,17.54,17.21,16.7
