date,5. volume,4. close,2. high,1. open,3. low
2014-09-19,271879400.0,93.89,99.7,92.7,89.95
2014-09-22,66332498.0,89.89,92.95,92.7,89.5
2014-09-23,38861975.0,87.17,90.48,88.94,86.62
2014-09-24,31864232.0,90.57,90.57,88.47,87.22
2014-09-25,28526179.0,88.92,91.5,91.09,88.5
2014-09-26,18339716.0,90.46,90.46,89.73,88.66
2014-09-29,25279264.0,88.75,89.7,89.62,88.02
2014-09-30,24408983.0,88.85,90.88,89.0,88.46
2014-10-01,24012926.0,86.1,88.94,88.7,86.04
2014-10-02,21469688.0,87.06,88.2,86.27,85.611
2014-10-03,18472777.0,88.1,89.94,88.1,87.65
2014-10-06,9276113.0,88.31,89.65,89.15,88.06
2014-10-07,12791745.0,87.67,89.7,87.95,87.06
2014-10-08,10255103.0,88.3,88.5,88.0,87.06
2014-10-09,21492810.0,88.79,90.35,88.51,88.0
2014-10-10,15424490.0,85.88,88.74,88.25,85.24
2014-10-13,14845004.0,85.12,86.89,86.85,84.92
2014-10-14,15567286.0,84.95,85.88,85.81,83.22
2014-10-15,16824274.0,85.6,86.49,84.04,82.81
2014-10-16,15216307.0,88.85,89.175,84.98,84.015
2014-10-17,17360731.0,87.91,90.9,90.4,87.6701
2014-10-20,9861999.0,88.26,89.5,88.0,87.86
2014-10-21,23207990.0,90.9,92.5,89.1,88.5
2014-10-22,20331868.0,91.63,93.5,92.25,91.01
2014-10-23,20576847.0,94.45,94.7,92.92,92.82
2014-10-24,32112882.0,95.76,98.0,95.07,94.78
2014-10-27,28236381.0,97.79,98.85,97.0,96.3
2014-10-28,32127642.0,99.68,100.67,99.84,98.61
2014-10-29,28655356.0,98.31,100.0,99.88,96.82
2014-10-30,15460454.0,98.73,99.44,98.48,97.3
2014-10-31,18128280.0,98.6,100.22,100.1,98.1356
2014-11-03,40787875.0,101.8,102.8,99.67,99.05
2014-11-04,67721166.0,106.07,106.359,100.425,99.51
2014-11-05,48283787.0,108.67,110.14,108.48,106.48
2014-11-06,33485283.0,111.57,111.7,109.3,107.21
2014-11-07,51457292.0,114.56,114.77,112.93,111.75
2014-11-10,75636276.0,119.15,119.45,117.27,115.2
2014-11-11,71152418.0,114.54,117.55,117.25,113.69
2014-11-12,53801203.0,118.2,119.07,115.05,114.02
2014-11-13,62162512.0,114.84,120.0,119.3,114.55
2014-11-14,29799885.0,115.1,115.39,115.06,113.35
2014-11-17,22539966.0,114.25,115.63,115.44,113.13
2014-11-18,41097971.0,110.81,114.38,114.33,110.41
2014-11-19,46810415.0,108.82,110.68,109.83,107.22
2014-11-20,36452611.0,109.82,112.44,107.81,107.26
2014-11-21,27404233.0,110.73,113.5,113.21,110.4354
2014-11-24,20598015.0,113.92,113.93,112.0,111.55
2014-11-25,23484800.0,113.47,115.17,114.94,112.33
2014-11-26,11832909.0,112.67,113.74,113.33,112.33
2014-11-28,8077842.0,111.64,113.23,113.14,111.11
2014-12-01,38464170.0,105.99,110.05,110.02,103.8961
2014-12-02,18785046.0,109.89,110.0,107.35,106.61
2014-12-03,16221061.0,110.64,111.68,110.4,108.798
2014-12-04,10838699.0,109.17,110.5,110.1,108.91
2014-12-05,12148064.0,107.9,110.35,109.6,107.76
2014-12-08,19191645.0,105.07,107.4,105.97,104.2101
2014-12-09,24848593.0,107.48,107.95,102.27,101.2
2014-12-10,18425955.0,103.88,107.38,107.09,103.51
2014-12-11,15677841.0,104.97,106.84,104.44,104.29
2014-12-12,14518618.0,105.11,107.45,104.7,104.179
2014-12-15,16521759.0,104.7,107.77,106.39,103.7
2014-12-16,21682427.0,105.77,107.68,103.75,103.7
2014-12-17,17311145.0,109.02,109.19,107.11,106.28
2014-12-18,22771998.0,109.25,111.2,110.58,108.26
2014-12-19,14857753.0,110.65,110.65,109.93,108.04
