date,5. volume,4. close,2. high,1. open,3. low
2012-05-18,573576400.0,38.2318,45.0,42.05,38.0
2012-05-21,168192700.0,34.03,36.66,36.53,33.0
2012-05-22,101786600.0,31.0,33.59,32.61,30.94
2012-05-23,73600000.0,32.0,32.5,31.37,31.36
2012-05-24,50237200.0,33.03,33.21,32.95,31.77
2012-05-25,37149800.0,31.91,32.95,32.9,31.11
2012-05-29,78063400.0,28.84,31.69,31.48,28.65
2012-05-30,57267900.0,28.19,29.55,28.695,27.86
2012-05-31,111639200.0,29.6,29.67,28.545,26.83
2012-06-01,41855500.0,27.72,29.15,28.892,27.39
2012-06-04,35230300.0,26.9,27.65,27.2,26.44
2012-06-05,42473400.0,25.869,27.76,26.7,25.75
2012-06-06,61489200.0,26.81,27.17,26.07,25.52
2012-06-07,26159500.0,26.31,27.35,27.0,26.15
2012-06-08,38034000.0,27.1,27.76,26.55,26.44
2012-06-11,28219600.0,27.005,28.07,27.18,26.835
2012-06-12,15816800.0,27.4,27.77,27.48,26.96
2012-06-13,17102800.0,27.27,28.1,27.66,27.1
2012-06-14,16855000.0,28.29,28.32,27.65,27.38
2012-06-15,43563800.0,30.014,30.1,28.505,28.35
2012-06-18,42978900.0,31.41,32.08,29.955,29.41
2012-06-19,30849000.0,31.911,32.18,31.535,30.7
2012-06-20,15553600.0,31.6,31.9288,31.92,31.15
2012-06-21,21875300.0,31.84,32.5,31.67,31.51
2012-06-22,74834000.0,33.05,33.45,32.41,32.06
2012-06-25,24352900.0,32.06,33.02,32.86,31.55
2012-06-26,24858700.0,33.1,33.44,32.69,32.5
2012-06-27,28568000.0,32.23,32.9,32.46,31.9
2012-06-28,17713300.0,31.36,32.19,31.96,30.9
2012-06-29,19526900.0,31.095,31.99,31.92,30.76
2012-07-02,14122000.0,30.771,31.73,31.25,30.55
2012-07-03,8763600.0,31.2,31.44,30.91,30.8
2012-07-05,10032100.0,31.47,31.625,31.32,31.02
2012-07-06,10945600.0,31.73,31.9,31.44,31.26
2012-07-09,17785200.0,32.17,32.88,32.1,31.99
2012-07-10,14269500.0,31.47,32.48,32.43,31.1599
2012-07-11,13030300.0,30.97,31.56,31.48,30.55
2012-07-12,11300700.0,30.81,31.4,30.7,30.6
2012-07-13,8108300.0,30.72,31.07,31.04,30.56
2012-07-16,24672100.0,28.245,30.5,30.5,28.21
2012-07-17,30438600.0,28.09,28.59,28.48,27.15
2012-07-18,16841800.0,29.11,29.29,28.31,28.15
2012-07-19,13685100.0,29.0,29.5,29.41,28.63
2012-07-20,11869100.0,28.76,29.47,29.0,28.72
2012-07-23,12390700.0,28.75,29.0,28.12,28.01
2012-07-24,11539800.0,28.45,29.45,28.82,28.1
