date,5. volume,4. close,2. high,1. open,3. low
2002-05-23,7485000.0,16.75,17.4,16.19,16.04
2002-05-24,793200.0,16.94,17.15,17.0,16.76
2002-05-28,472100.0,16.2,17.25,16.99,16.2
2002-05-29,482700.0,15.45,16.3,16.3,15.2
2002-05-30,725300.0,15.0,15.51,15.51,15.0
2002-05-31,604600.0,15.07,15.1,15.1,15.0
2002-06-03,225100.0,15.8,16.09,15.12,15.07
2002-06-04,221800.0,15.65,15.96,15.9,15.55
2002-06-05,109400.0,16.06,16.23,15.55,15.5
2002-06-06,164700.0,16.55,17.25,16.1,16.08
2002-06-07,97800.0,15.66,16.49,16.49,15.45
2002-06-10,34600.0,16.19,16.45,15.89,15.89
2002-06-11,71700.0,16.15,16.64,16.19,15.8
2002-06-12,128500.0,15.3,16.55,16.15,15.25
2002-06-13,183400.0,15.16,15.71,15.46,15.12
2002-06-14,341700.0,13.81,15.2,15.15,13.72
2002-06-17,346800.0,12.91,14.83,14.19,12.85
2002-06-18,772000.0,12.75,13.15,13.14,11.79
2002-06-19,391600.0,13.32,13.95,12.76,12.5
2002-06-20,436500.0,13.4,14.56,13.6,13.3
2002-06-21,167600.0,13.71,13.85,13.75,13.27
2002-06-24,183400.0,13.7,14.2,13.71,13.4
2002-06-25,281500.0,13.5,14.1,13.84,13.26
2002-06-26,208900.0,13.84,13.95,13.49,12.9
2002-06-27,272700.0,13.21,14.26,14.13,13.21
2002-06-28,659600.0,13.99,14.19,13.45,13.45
2002-07-01,327500.0,14.39,14.65,14.0,13.9
2002-07-02,644300.0,16.42,16.74,14.75,14.55
2002-07-03,354100.0,17.0,17.0,16.5,15.65
2002-07-05,143100.0,17.87,18.19,17.0,16.99
2002-07-08,139500.0,16.46,17.53,17.53,16.35
2002-07-09,209700.0,16.25,16.75,16.45,15.6
2002-07-10,111000.0,16.29,16.5,16.26,15.85
2002-07-11,180700.0,17.77,17.9,16.16,15.86
2002-07-12,202700.0,16.91,17.92,17.9,16.9
2002-07-15,302800.0,16.0,17.48,17.4,15.07
2002-07-16,138700.0,15.77,16.2,16.14,15.46
2002-07-17,90100.0,15.25,16.29,16.03,15.06
2002-07-18,207100.0,16.09,16.33,15.64,15.55
2002-07-19,128000.0,16.24,16.25,16.14,15.71
