date,5. volume,4. close,2. high,1. open,3. low
2000-01-03,44600.0,7.5,7.5,7.5,7.5
2000-01-04,29600.0,7.688,7.938,7.656,7.5
2000-01-05,21700.0,7.625,7.875,7.688,7.625
2000-01-06,41000.0,7.5,7.75,7.656,7.313
2000-01-07,47200.0,7.875,7.875,7.438,7.188
2000-01-10,30400.0,7.75,7.875,7.875,7.75
2000-01-11,24700.0,7.656,7.875,7.594,7.563
2000-01-12,14100.0,7.75,7.875,7.75,7.313
2000-01-13,19500.0,7.375,7.75,7.594,7.063
2000-01-14,24000.0,7.438,7.438,7.313,7.063
2000-01-18,16700.0,7.625,7.75,7.438,7.125
2000-01-19,136700.0,8.063,8.313,7.781,7.688
2000-01-20,660400.0,9.938,11.0,8.188,8.0
2000-01-21,620700.0,11.13,11.63,10.28,10.25
2000-01-24,457400.0,11.81,12.13,11.44,11.38
2000-01-25,481100.0,11.0,12.31,12.25,10.19
2000-01-26,376800.0,11.31,11.88,11.13,11.0
2000-01-27,620100.0,12.06,12.06,11.44,10.94
2000-01-28,1038900.0,14.69,15.25,12.16,12.13
2000-01-31,871900.0,14.0,15.81,14.97,12.88
2000-02-01,354300.0,12.06,14.19,14.19,11.94
2000-02-02,266000.0,12.38,12.94,12.0,11.38
2000-02-03,255700.0,12.25,13.19,12.5,12.06
2000-02-04,263900.0,12.0,12.13,12.06,11.63
2000-02-07,432600.0,11.02,12.13,12.0,10.63
2000-02-08,234300.0,12.06,12.06,11.38,11.31
2000-02-09,514300.0,13.19,13.19,12.44,12.25
2000-02-10,198000.0,13.0,13.38,13.38,12.63
2000-02-11,464900.0,14.5,14.63,13.19,13.0
2000-02-14,556400.0,13.88,14.88,14.69,13.38
2000-02-15,1154300.0,13.56,15.44,14.63,13.31
2000-02-16,646300.0,13.38,13.63,13.63,12.56
2000-02-17,1944000.0,17.0,17.38,13.47,13.44
2000-02-18,1124600.0,17.5,19.0,18.69,17.0
2000-02-22,735100.0,15.81,18.5,18.5,15.56
2000-02-23,340000.0,15.63,16.75,16.19,15.38
2000-02-24,262200.0,15.38,16.44,16.25,15.13
2000-02-25,388100.0,15.31,16.56,15.81,15.25
2000-02-28,376800.0,16.38,16.44,15.25,14.69
2000-02-29,491900.0,16.63,17.25,16.5,16.25
2000-03-01,410000.0,15.31,16.5,16.19,15.31
2000-03-02,706200.0,16.19,17.13,15.56,14.94
2000-03-03,340400.0,15.88,16.5,16.44,15.5
2000-03-06,294200.0,15.69,16.25,16.13,15.38
2000-03-07,328400.0,14.5,16.11,15.88,13.31
2000-03-08,216500.0,14.38,15.25,14.38,13.5
2000-03-09,205100.0,14.0,14.75,14.25,13.75
2000-03-10,243400.0,12.94,14.5,14.13,12.94
2000-03-13,267300.0,12.38,13.25,12.94,11.63
2000-03-14,250800.0,11.88,13.75,12.38,11.38
2000-03-15,272200.0,11.25,12.38,11.13,10.06
2000-03-16,228300.0,11.06,11.63,11.5,10.31
2000-03-17,215200.0,10.63,11.63,11.13,10.38
2000-03-20,275800.0,9.75,10.63,10.59,9.5
2000-03-21,535500.0,9.75,9.75,9.625,9.0
2000-03-22,274400.0,11.38,11.5,9.813,9.5
2000-03-23,95900.0,11.13,12.0,11.88,10.69
2000-03-24,180400.0,10.5,11.25,11.25,9.75
2000-03-27,72700.0,9.938,11.0,10.44,9.75
2000-03-28,101700.0,10.0,10.13,9.781,9.625
2000-03-29,104000.0,9.5,10.0,9.625,9.375
2000-03-30,455400.0,9.25,9.625,9.313,9.063
2000-03-31,181000.0,10.31,10.31,9.125,9.125
2000-04-03,73300.0,9.938,10.5,10.38,9.375
2000-04-04,271900.0,10.0,12.5,9.75,9.625
2000-04-05,103600.0,10.06,10.13,9.563,9.531
2000-04-06,107000.0,9.875,10.38,10.31,9.656
2000-04-07,1047800.0,10.0,11.13,9.938,9.25
2000-04-10,802100.0,9.5,10.75,10.69,9.0
2000-04-11,313200.0,9.0,9.563,9.313,8.875
2000-04-12,204200.0,7.313,9.219,8.813,7.313
