date,5. volume,4. close,2. high,1. open,3. low
2018-04-26 14:21:00,1500.0,3.06,3.06,3.055,3.05
2018-04-26 14:22:00,400.0,3.06,3.06,3.055,3.055
2018-04-26 14:23:00,5300.0,3.06,3.06,3.0534,3.0534
2018-04-26 14:24:00,6800.0,3.055,3.06,3.055,3.05
2018-04-26 14:25:00,900.0,3.05,3.06,3.055,3.05
2018-04-26 14:26:00,200.0,3.05,3.055,3.055,3.05
2018-04-26 14:27:00,1300.0,3.0531,3.055,3.05,3.05
2018-04-26 14:28:00,600.0,3.0548,3.0548,3.05,3.05
2018-04-26 14:29:00,1000.0,3.056,3.056,3.056,3.056
2018-04-26 14:30:00,400.0,3.06,3.06,3.05,3.05
2018-04-26 14:31:00,5900.0,3.055,3.06,3.055,3.05
2018-04-26 14:32:00,2100.0,3.06,3.06,3.055,3.055
2018-04-26 14:33:00,1800.0,3.05,3.06,3.05,3.05
2018-04-26 14:34:00,600.0,3.05,3.06,3.059,3.05
2018-04-26 14:35:00,300.0,3.055,3.06,3.06,3.05
2018-04-26 14:36:00,400.0,3.06,3.06,3.05,3.05
2018-04-26 14:37:00,1300.0,3.055,3.06,3.0568,3.05
2018-04-26 14:38:00,500.0,3.06,3.06,3.055,3.055
2018-04-26 14:39:00,1600.0,3.055,3.06,3.05,3.05
2018-04-26 14:40:00,2674.0,3.06,3.06,3.06,3.055
2018-04-26 14:41:00,1000.0,3.055,3.06,3.0594,3.055
2018-04-26 14:42:00,15799.0,3.05,3.06,3.06,3.05
2018-04-26 14:43:00,8550.0,3.055,3.06,3.055,3.05
2018-04-26 14:44:00,17358.0,3.055,3.06,3.055,3.05
2018-04-26 14:45:00,9400.0,3.0559,3.06,3.055,3.05
2018-04-26 14:46:00,41657.0,3.06,3.07,3.06,3.0592
2018-04-26 14:47:00,10750.0,3.0672,3.069,3.06,3.06
2018-04-26 14:48:00,8900.0,3.06,3.0695,3.065,3.06
2018-04-26 14:49:00,16602.0,3.0672,3.0672,3.0636,3.06
2018-04-26 14:50:00,13900.0,3.06,3.07,3.06,3.06
2018-04-26 14:51:00,7700.0,3.0672,3.0672,3.06,3.06
2018-04-26 14:52:00,17600.0,3.065,3.07,3.065,3.06
2018-04-26 14:53:00,19110.0,3.065,3.065,3.065,3.06
2018-04-26 14:54:00,8800.0,3.06,3.065,3.06,3.06
