date,5. volume,4. close,2. high,1. open,3. low
2010-06-29,18766300.0,23.89,25.0,19.0,17.54
2010-06-30,17187100.0,23.83,30.4192,25.79,23.3
2010-07-01,8218800.0,21.96,25.92,25.0,20.27
2010-07-02,5139800.0,19.2,23.1,23.0,18.71
2010-07-06,6866900.0,16.11,20.0,20.0,15.83
2010-07-07,6921700.0,15.8,16.63,16.4,14.98
2010-07-08,7711400.0,17.46,17.52,16.14,15.57
2010-07-09,4050600.0,17.4,17.9,17.58,16.55
2010-07-12,2202500.0,17.05,18.07,17.95,17.0
2010-07-13,2680100.0,18.14,18.64,17.3938,16.9
2010-07-14,4195200.0,19.84,20.15,17.94,17.7601
2010-07-15,3739800.0,19.89,21.5,19.94,19.0
2010-07-16,2621300.0,20.64,21.3,20.7,20.05
2010-07-19,2486500.0,21.91,22.25,21.37,20.92
2010-07-20,1825300.0,20.3,21.85,21.85,20.05
2010-07-21,1252500.0,20.22,20.9,20.66,19.5
2010-07-22,957800.0,21.0,21.25,20.5,20.37
2010-07-23,653600.0,21.29,21.56,21.19,21.06
2010-07-26,922200.0,20.95,21.5,21.5,20.3
2010-07-27,619700.0,20.55,21.18,20.91,20.26
2010-07-28,467200.0,20.72,20.9,20.55,20.51
2010-07-29,616000.0,20.35,20.88,20.77,20.0
2010-07-30,426900.0,19.94,20.44,20.2,19.55
2010-08-02,718100.0,20.92,20.97,20.5,20.333
2010-08-03,1230500.0,21.95,21.95,21.0,20.82
2010-08-04,913000.0,21.26,22.18,21.95,20.85
2010-08-05,796200.0,20.45,21.55,21.54,20.05
2010-08-06,741900.0,19.59,20.1601,20.1,19.52
2010-08-09,812700.0,19.6,19.98,19.9,19.45
2010-08-10,1281300.0,19.03,19.65,19.65,18.82
2010-08-11,797600.0,17.9,18.88,18.69,17.85
2010-08-12,691000.0,17.6,17.9,17.8,17.39
2010-08-13,634000.0,18.32,18.45,18.18,17.6604
2010-08-16,485800.0,18.78,18.8,18.45,18.2616
2010-08-17,447900.0,19.15,19.4,18.96,18.78
2010-08-18,601300.0,18.77,19.59,19.59,18.6
2010-08-19,579100.0,18.79,19.25,18.54,18.33
2010-08-20,296000.0,19.1,19.11,18.65,18.5101
2010-08-23,1088100.0,20.13,20.3891,19.09,19.0
2010-08-24,673100.0,19.2,19.71,19.25,18.95
2010-08-25,503300.0,19.9,19.98,19.16,18.56
2010-08-26,433800.0,19.75,20.27,19.89,19.6
2010-08-27,379600.0,19.7,19.865,19.75,19.5
2010-08-30,732800.0,19.87,20.19,19.7,19.61
2010-08-31,201100.0,19.48,19.79,19.66,19.33
2010-09-01,494900.0,20.45,20.69,19.62,19.6
2010-09-02,487100.0,21.06,21.24,20.37,20.3103
2010-09-03,434600.0,21.05,21.3,20.87,20.66
2010-09-07,243400.0,20.54,21.0,20.61,20.5
2010-09-08,288400.0,20.9,20.95,20.66,20.6
2010-09-09,376200.0,20.71,21.05,21.0,20.69
2010-09-10,386600.0,20.17,20.93,20.75,19.76
2010-09-13,360800.0,20.72,20.8995,20.89,20.5
2010-09-14,654700.0,21.12,21.6,20.54,20.53
2010-09-15,684600.0,21.98,22.0,20.98,20.79
2010-09-16,2684500.0,20.94,23.16,22.15,20.84
2010-09-17,1198500.0,20.23,21.32,21.02,19.8
2010-09-20,947500.0,21.055,21.35,20.67,20.16
2010-09-21,796000.0,20.77,21.55,20.89,20.67
2010-09-22,962900.0,19.87,20.95,20.87,19.8
2010-09-23,668100.0,19.56,20.14,19.89,19.5
2010-09-24,578900.0,20.1,20.19,19.95,19.65
2010-09-27,418600.0,20.53,20.81,20.4,20.05
2010-09-28,1214500.0,21.4,21.49,21.04,20.76
2010-09-29,1969300.0,21.98,22.03,21.19,21.13
2010-09-30,2195800.0,20.405,22.1499,22.0,20.19
2010-10-01,597700.0,20.6,20.75,20.69,20.31
2010-10-04,643600.0,20.99,21.17,20.43,20.3
2010-10-05,332000.0,21.12,21.28,21.15,21.01
2010-10-06,313400.0,20.46,21.258,21.06,20.32
2010-10-07,141000.0,20.43,20.64,20.57,20.34
2010-10-08,267800.0,20.43,20.79,20.43,20.39
2010-10-11,171200.0,20.24,20.699,20.44,20.07
2010-10-12,244000.0,20.24,20.2829,20.2,20.03
2010-10-13,318200.0,20.54,20.85,20.64,20.36
2010-10-14,294800.0,20.75,21.0299,21.0,20.4
2010-10-15,284700.0,20.54,20.9,20.89,20.25
2010-10-18,162800.0,20.23,20.6399,20.52,20.22
2010-10-19,245200.0,20.05,20.4061,20.2,20.0
2010-10-20,312500.0,20.65,20.69,20.16,20.04
2010-10-21,417100.0,20.75,20.95,20.61,20.45
2010-10-22,161100.0,20.72,20.93,20.68,20.55
2010-10-25,118500.0,20.85,20.98,20.94,20.73
2010-10-26,660900.0,21.36,21.87,20.8,20.51
2010-10-27,356500.0,21.0,21.38,21.25,20.65
2010-10-28,224200.0,21.19,21.5,21.39,20.96
2010-10-29,280600.0,21.84,21.85,21.14,21.052
2010-11-01,455800.0,21.41,22.75,21.94,21.31
2010-11-02,322500.0,21.25,21.8792,21.68,21.05
2010-11-03,372600.0,21.77,22.5,21.28,21.16
2010-11-04,1874000.0,24.9,25.33,22.6,22.151
2010-11-05,1011000.0,24.44,24.97,24.87,23.72
2010-11-08,509500.0,24.98,25.0,24.5,24.03
2010-11-09,956400.0,24.63,25.69,25.0,24.0501
2010-11-10,3060500.0,29.36,29.97,24.48,24.05
2010-11-11,1945300.0,28.035,29.1,28.6,27.33
2010-11-12,2729100.0,29.84,30.5,28.25,28.07
2010-11-15,2622900.0,30.8,32.9395,30.22,30.22
2010-11-16,1347600.0,29.67,31.4,31.0,28.42
2010-11-17,750000.0,29.49,30.75,30.2,28.61
2010-11-18,956100.0,29.89,30.74,30.67,28.9201
2010-11-19,1150500.0,30.99,31.37,30.16,29.7
2010-11-22,1529700.0,33.4,33.45,31.57,31.5
2010-11-23,1577800.0,34.57,35.68,33.29,32.1901
2010-11-24,1425000.0,35.47,35.97,35.27,34.334
2010-11-26,350600.0,35.32,36.0,35.6,34.75
2010-11-29,1145600.0,34.33,35.95,35.4122,33.33
2010-11-30,2222600.0,35.33,35.33,33.74,33.41
2010-12-01,1299200.0,34.35,36.42,35.87,33.45
2010-12-02,2007000.0,32.35,34.2975,34.01,31.2
2010-12-03,1160100.0,31.49,32.25,32.01,30.87
2010-12-06,1274400.0,30.31,31.45,31.35,29.56
2010-12-07,1311300.0,31.56,32.4,30.49,30.05
2010-12-08,660000.0,32.37,32.49,32.48,31.52
2010-12-09,406000.0,32.05,32.72,32.51,31.65
2010-12-10,429400.0,31.52,32.92,32.05,31.1301
2010-12-13,410400.0,30.55,31.77,31.64,30.4
2010-12-14,1765700.0,28.53,30.3899,30.29,27.761
2010-12-15,742900.0,29.6,29.97,28.67,28.53
2010-12-16,790100.0,30.81,30.91,30.0,29.6501
2010-12-17,813000.0,31.36,31.54,31.34,30.71
2010-12-20,523400.0,31.7,32.19,31.64,31.26
2010-12-21,777700.0,32.26,32.69,31.8,31.7101
2010-12-22,833300.0,32.63,32.86,32.25,31.7
2010-12-23,1552600.0,30.09,32.48,31.26,29.92
2010-12-27,9301900.0,25.549,28.58,28.02,25.06
2010-12-28,4056300.0,26.41,26.75,25.85,25.0
