Time,Open,High,Low,Close,Volume
"Mar 01, 2018",186.18,187.48,180.05,181.99,"17,286,309"
"Feb 28, 2018",187.25,188.24,185.00,186.14,"19,367,600"
"Feb 27, 2018",192.59,193.57,187.21,188.26,"23,218,500"
"Feb 26, 2018",194.46,195.15,190.65,194.19,"19,463,100"
"Feb 23, 2018",190.18,193.40,189.95,193.29,"16,937,300"
"Feb 22, 2018",190.20,190.74,187.77,188.75,"12,282,800"
"Feb 21, 2018",189.37,193.17,188.46,188.82,"22,071,600"
"Feb 20, 2018",183.67,188.83,183.00,187.19,"14,854,900"
"Feb 16, 2018",186.75,188.27,183.54,183.68,"16,114,100"
"Feb 15, 2018",189.25,189.56,184.43,187.45,"14,361,100"
"Feb 14, 2018",179.22,186.93,178.90,186.76,"21,047,400"
"Feb 13, 2018",177.42,182.15,177.00,179.25,"15,507,000"
"Feb 12, 2018",180.44,180.79,175.09,177.44,"18,280,300"
"Feb 09, 2018",175.12,177.62,168.88,176.67,"28,049,500"
"Feb 08, 2018",182.27,183.10,171.39,173.70,"32,051,300"
"Feb 07, 2018",183.50,186.83,180.30,180.30,"19,672,100"
"Feb 06, 2018",174.72,185.59,174.17,185.17,"35,804,500"
"Feb 05, 2018",183.70,190.47,179.90,180.53,"31,084,000"
"Feb 02, 2018",194.79,195.68,186.80,187.31,"32,233,900"
"Feb 01, 2018",192.75,199.49,191.14,192.22,"52,628,900"
"Jan 31, 2018",202.82,206.20,202.80,204.29,"26,982,500"
"Jan 30, 2018",198.68,202.54,196.49,199.66,"23,377,500"
"Jan 29, 2018",204.83,205.69,201.82,203.01,"21,908,600"
"Jan 26, 2018",200.33,205.23,199.21,205.22,"23,768,600"
"Jan 25, 2018",196.34,199.59,194.10,198.33,"23,421,600"
"Jan 24, 2018",194.71,198.86,192.40,195.53,"34,497,300"
"Jan 23, 2018",185.28,192.40,183.54,192.28,"31,305,900"
"Jan 22, 2018",184.98,185.04,181.68,184.02,"16,016,300"
"Jan 19, 2018",185.15,185.24,182.80,184.05,"15,349,300"
"Jan 18, 2018",184.28,185.85,182.69,184.40,"14,190,700"
"Jan 17, 2018",183.30,184.80,179.32,183.83,"21,346,500"
"Jan 16, 2018",190.40,191.74,181.75,182.40,"27,428,500"
"Jan 12, 2018",189.91,190.20,187.25,187.79,"11,789,600"
"Jan 11, 2018",189.73,190.43,188.10,188.75,"12,400,400"
"Jan 10, 2018",188.10,190.39,186.58,189.79,"17,943,800"
"Jan 09, 2018",191.13,192.49,188.00,190.80,"19,495,100"
"Jan 08, 2018",190.46,191.66,189.07,190.33,"16,230,100"
"Jan 05, 2018",187.17,190.75,186.30,190.70,"18,168,300"
"Jan 04, 2018",185.90,187.75,184.43,185.71,"19,473,800"
"Jan 03, 2018",185.19,185.63,181.40,184.00,"20,121,900"
"Jan 02, 2018",176.40,184.10,175.70,183.65,"29,916,900"
"Dec 29, 2017",172.28,173.67,171.20,172.43,"9,704,600"
"Dec 28, 2017",173.04,173.53,171.67,172.30,"9,508,100"
"Dec 27, 2017",172.29,173.87,171.73,172.97,"10,152,300"
"Dec 26, 2017",174.55,175.15,171.73,172.33,"12,913,800"
"Dec 22, 2017",175.84,176.66,175.04,176.29,"12,524,700"
"Dec 21, 2017",172.80,176.25,172.65,175.32,"14,812,400"
"Dec 20, 2017",171.79,172.90,170.80,172.64,"17,121,400"
"Dec 19, 2017",171.97,173.00,170.51,171.28,"23,936,200"
"Dec 18, 2017",174.60,174.70,172.37,173.37,"17,023,300"
"Dec 15, 2017",172.89,173.55,170.00,173.55,"41,356,700"
"Dec 14, 2017",173.11,173.39,169.61,171.75,"32,830,000"
"Dec 13, 2017",175.19,177.70,174.30,176.47,"18,653,400"
"Dec 12, 2017",174.64,178.16,173.77,174.64,"22,656,500"
"Dec 11, 2017",179.90,180.68,178.15,179.29,"15,626,200"
"Dec 08, 2017",177.57,178.96,176.37,177.62,"23,543,400"
"Dec 07, 2017",175.29,175.82,172.26,174.47,"15,697,900"
"Dec 06, 2017",172.63,173.23,167.87,172.63,"23,897,800"
"Dec 05, 2017",165.28,172.96,164.25,168.96,"31,609,900"
"Dec 04, 2017",177.20,177.58,168.26,169.58,"35,895,100"
"Dec 01, 2017",175.27,179.80,173.80,174.61,"26,782,300"
"Nov 30, 2017",179.53,179.80,176.32,177.08,"25,851,100"
"Nov 29, 2017",185.25,185.41,173.62,179.91,"40,204,100"
"Nov 28, 2017",188.83,189.10,186.50,186.69,"13,378,100"
"Nov 27, 2017",190.49,191.45,187.55,188.03,"14,952,800"
"Nov 24, 2017",189.39,191.70,188.70,191.19,"9,887,300"
"Nov 22, 2017",191.54,191.75,189.37,189.84,"14,417,600"
"Nov 21, 2017",190.35,191.56,188.80,190.90,"19,639,500"
"Nov 20, 2017",187.60,190.00,186.61,188.00,"25,992,300"
"Nov 17, 2017",185.92,186.50,184.67,185.13,"13,422,700"
"Nov 16, 2017",183.31,186.27,183.12,185.43,"18,389,500"
"Nov 15, 2017",179.37,181.88,176.74,181.48,"16,567,000"
"Nov 14, 2017",184.30,184.38,181.15,181.79,"14,475,300"
"Nov 13, 2017",186.77,187.88,184.00,184.54,"17,139,100"
"Nov 10, 2017",187.03,187.17,185.40,186.41,"15,031,000"
"Nov 09, 2017",184.21,185.13,181.05,185.13,"19,755,600"
"Nov 08, 2017",187.98,188.15,185.10,185.90,"13,944,600"
