Time,Open,High,Low,Close,Volume
"Mar 01, 2018","1,107.87","1,110.12","1,067.00","1,069.52","2,515,910"
"Feb 28, 2018","1,123.03","1,127.53","1,103.24","1,104.73","1,869,600"
"Feb 27, 2018","1,141.24","1,144.04","1,118.00","1,118.29","1,774,100"
"Feb 26, 2018","1,127.80","1,143.96","1,126.69","1,143.75","1,559,100"
"Feb 23, 2018","1,112.64","1,127.28","1,104.71","1,126.79","1,261,000"
"Feb 22, 2018","1,116.19","1,122.82","1,102.59","1,106.63","1,317,200"
"Feb 21, 2018","1,106.47","1,133.97","1,106.33","1,111.34","1,512,900"
"Feb 20, 2018","1,090.57","1,113.95","1,088.52","1,102.46","1,423,100"
"Feb 16, 2018","1,088.41","1,104.67","1,088.31","1,094.80","1,681,600"
"Feb 15, 2018","1,079.07","1,091.48","1,064.34","1,089.52","1,843,400"
"Feb 14, 2018","1,048.95","1,071.72","1,046.75","1,069.70","1,555,800"
"Feb 13, 2018","1,045.00","1,058.37","1,044.09","1,052.10","1,265,100"
"Feb 12, 2018","1,048.00","1,061.50","1,040.93","1,051.94","2,057,700"
"Feb 09, 2018","1,017.25","1,043.97",992.56,"1,037.78","3,505,900"
"Feb 08, 2018","1,055.41","1,058.62","1,000.66","1,001.52","2,859,100"
"Feb 07, 2018","1,081.54","1,081.78","1,048.26","1,048.58","2,369,200"
"Feb 06, 2018","1,027.18","1,081.71","1,023.14","1,080.60","3,448,000"
"Feb 05, 2018","1,090.60","1,110.00","1,052.03","1,055.80","3,798,300"
"Feb 02, 2018","1,122.00","1,123.07","1,107.28","1,111.90","4,857,900"
"Feb 01, 2018","1,162.61","1,174.00","1,157.52","1,167.70","2,412,100"
"Jan 31, 2018","1,170.57","1,173.00","1,159.13","1,169.94","1,538,700"
"Jan 30, 2018","1,167.83","1,176.52","1,163.52","1,163.69","1,556,300"
"Jan 29, 2018","1,176.48","1,186.89","1,171.98","1,175.58","1,378,900"
"Jan 26, 2018","1,175.08","1,175.84","1,158.11","1,175.84","2,018,800"
"Jan 25, 2018","1,172.53","1,175.94","1,162.76","1,170.37","1,480,500"
"Jan 24, 2018","1,177.33","1,179.86","1,161.05","1,164.24","1,416,600"
