Time,Open,High,Low,Close,Volume
"Mar 01, 2018",3.41,3.47,3.16,3.18,"7,294,000"
"Feb 28, 2018",3.69,3.71,3.39,3.39,"7,385,800"
"Feb 27, 2018",3.72,3.79,3.69,3.71,"5,228,200"
"Feb 26, 2018",3.77,3.82,3.67,3.73,"4,380,200"
"Feb 23, 2018",3.66,3.83,3.65,3.80,"3,886,900"
"Feb 22, 2018",3.56,3.77,3.55,3.62,"3,789,500"
"Feb 21, 2018",3.67,3.70,3.57,3.57,"5,504,800"
"Feb 20, 2018",3.80,3.84,3.68,3.69,"3,760,800"
"Feb 16, 2018",3.95,3.98,3.83,3.85,"2,463,500"
"Feb 15, 2018",3.91,3.98,3.90,3.96,"2,620,700"
"Feb 14, 2018",3.89,3.94,3.80,3.93,"3,976,400"
"Feb 13, 2018",3.88,3.93,3.80,3.90,"3,481,100"
"Feb 12, 2018",3.91,4.03,3.81,3.95,"3,757,700"
"Feb 09, 2018",4.06,4.09,3.61,3.88,"9,870,700"
"Feb 08, 2018",4.13,4.21,4.01,4.03,"5,912,400"
"Feb 07, 2018",4.32,4.49,4.13,4.14,"4,891,600"
"Feb 06, 2018",4.11,4.35,4.03,4.34,"6,588,900"
"Feb 05, 2018",4.29,4.40,4.01,4.13,"6,295,200"
"Feb 02, 2018",4.42,4.44,4.25,4.25,"6,191,800"
"Feb 01, 2018",4.43,4.51,4.33,4.45,"4,094,200"
"Jan 31, 2018",4.58,4.65,4.41,4.46,"5,351,900"
"Jan 30, 2018",4.75,4.79,4.56,4.59,"4,643,300"
"Jan 29, 2018",4.85,4.90,4.73,4.79,"4,128,100"
"Jan 26, 2018",5.05,5.14,4.84,4.88,"3,830,200"
"Jan 25, 2018",4.94,5.05,4.86,5.00,"6,119,400"
"Jan 24, 2018",4.82,5.00,4.80,4.85,"6,558,600"
"Jan 23, 2018",4.46,4.89,4.46,4.83,"8,778,200"
"Jan 22, 2018",4.50,4.50,4.32,4.44,"5,518,100"
"Jan 19, 2018",4.38,4.48,4.33,4.47,"3,476,800"
"Jan 18, 2018",4.45,4.50,4.31,4.40,"4,663,400"
"Jan 17, 2018",4.64,4.65,4.28,4.47,"9,283,700"
"Jan 16, 2018",4.91,4.93,4.55,4.60,"8,114,100"
"Jan 12, 2018",5.07,5.07,4.90,4.98,"3,286,100"
"Jan 11, 2018",5.05,5.12,5.00,5.06,"2,613,500"
"Jan 10, 2018",5.00,5.08,4.92,5.06,"2,679,600"
"Jan 09, 2018",4.94,5.00,4.87,4.99,"2,541,300"
"Jan 08, 2018",4.96,5.00,4.85,4.92,"3,104,700"
"Jan 05, 2018",5.07,5.10,4.93,4.96,"2,617,500"
"Jan 04, 2018",5.14,5.14,4.95,5.07,"2,804,100"
"Jan 03, 2018",4.97,5.12,4.92,5.12,"3,486,800"
"Jan 02, 2018",4.95,4.99,4.90,4.97,"2,954,400"
"Dec 29, 2017",4.92,5.03,4.89,4.90,"4,538,900"
"Dec 28, 2017",4.93,5.08,4.91,4.95,"4,287,100"
"Dec 27, 2017",4.90,4.96,4.84,4.92,"3,736,300"
"Dec 26, 2017",4.94,4.98,4.87,4.92,"2,806,800"
"Dec 22, 2017",5.00,5.00,4.85,4.92,"2,922,800"
"Dec 21, 2017",4.92,5.05,4.91,5.03,"2,901,600"
"Dec 20, 2017",4.82,4.94,4.80,4.94,"3,385,000"
"Dec 19, 2017",4.98,4.99,4.79,4.81,"5,258,000"
"Dec 18, 2017",4.97,5.13,4.91,5.07,"3,418,500"
"Dec 15, 2017",4.90,5.00,4.83,4.98,"6,791,800"
"Dec 14, 2017",5.06,5.07,4.82,4.85,"4,736,100"
"Dec 13, 2017",5.08,5.19,5.07,5.13,"2,183,100"
"Dec 12, 2017",5.15,5.15,4.97,5.10,"3,461,000"
"Dec 11, 2017",5.19,5.23,5.13,5.15,"3,953,400"
"Dec 08, 2017",5.12,5.26,5.08,5.25,"3,912,200"
"Dec 07, 2017",4.94,5.09,4.94,5.08,"2,969,300"
"Dec 06, 2017",5.04,5.05,4.90,4.99,"3,446,400"
"Dec 05, 2017",5.14,5.22,5.03,5.04,"2,517,200"
"Dec 04, 2017",5.23,5.33,5.12,5.14,"3,369,000"
"Dec 01, 2017",5.23,5.35,5.09,5.21,"3,104,400"
"Nov 30, 2017",5.05,5.25,5.05,5.25,"4,653,300"
"Nov 29, 2017",5.00,5.07,4.91,4.99,"4,268,000"
"Nov 28, 2017",5.11,5.11,4.90,5.02,"5,479,600"
"Nov 27, 2017",5.04,5.20,5.02,5.08,"6,339,900"
"Nov 24, 2017",4.79,5.05,4.77,5.01,"2,716,500"
"Nov 22, 2017",4.75,4.82,4.74,4.80,"2,820,100"
"Nov 21, 2017",4.78,4.80,4.71,4.78,"4,282,900"
"Nov 20, 2017",4.86,4.93,4.76,4.80,"4,729,600"
"Nov 17, 2017",4.87,5.01,4.80,4.94,"6,046,900"
"Nov 16, 2017",4.69,4.89,4.60,4.87,"6,782,900"
"Nov 15, 2017",4.50,4.76,4.50,4.74,"6,407,900"
"Nov 14, 2017",5.20,5.21,4.55,4.61,"18,781,400"
"Nov 13, 2017",5.44,5.52,5.25,5.26,"5,903,700"
"Nov 10, 2017",5.44,5.70,5.44,5.50,"5,745,700"
"Nov 09, 2017",5.52,5.75,5.35,5.42,"16,968,000"
"Nov 08, 2017",6.55,6.61,6.45,6.45,"3,298,400"
"Nov 07, 2017",6.70,6.71,6.55,6.58,"2,557,800"
"Nov 06, 2017",6.57,6.68,6.55,6.66,"2,341,400"
"Nov 03, 2017",6.50,6.58,6.36,6.57,"3,687,300"
"Nov 02, 2017",6.61,6.67,6.48,6.54,"2,962,000"
"Nov 01, 2017",6.77,6.80,6.52,6.52,"4,052,200"
"Oct 31, 2017",6.83,6.90,6.64,6.73,"3,575,400"
"Oct 30, 2017",6.75,6.91,6.68,6.84,"3,306,800"
"Oct 27, 2017",6.63,6.81,6.58,6.81,"3,134,500"
"Oct 26, 2017",6.72,6.77,6.56,6.63,"4,569,600"
"Oct 25, 2017",6.73,6.79,6.61,6.67,"2,734,600"
"Oct 24, 2017",6.85,6.86,6.74,6.78,"3,455,300"
"Oct 23, 2017",6.95,6.99,6.87,6.87,"3,002,000"
"Oct 20, 2017",6.74,6.99,6.72,6.96,"3,530,800"
"Oct 19, 2017",6.67,6.76,6.60,6.75,"3,519,400"
"Oct 18, 2017",6.79,6.82,6.59,6.70,"4,247,600"
"Oct 17, 2017",6.86,6.93,6.72,6.80,"3,355,800"
"Oct 16, 2017",7.01,7.04,6.83,6.90,"3,095,900"
"Oct 13, 2017",6.88,7.03,6.82,6.95,"2,698,800"
"Oct 12, 2017",6.91,6.98,6.79,6.88,"4,536,300"
"Oct 11, 2017",6.87,6.90,6.76,6.81,"3,830,900"
"Oct 10, 2017",6.81,6.94,6.76,6.88,"2,642,500"
"Oct 09, 2017",6.98,7.03,6.81,6.83,"5,144,800"
"Oct 06, 2017",6.94,7.04,6.90,7.00,"3,263,300"
"Oct 05, 2017",6.89,7.08,6.89,6.97,"3,896,900"
"Oct 04, 2017",7.05,7.05,6.86,6.90,"2,507,400"
"Oct 03, 2017",6.99,7.08,6.92,7.04,"3,012,200"
"Oct 02, 2017",6.87,7.05,6.84,7.03,"5,799,700"
"Sep 29, 2017",6.84,7.02,6.81,6.86,"5,456,900"
"Sep 28, 2017",6.80,7.09,6.76,6.94,"6,130,500"
"Sep 27, 2017",7.21,7.24,6.78,6.86,"7,544,200"
"Sep 26, 2017",6.90,7.22,6.89,7.11,"8,352,300"
"Sep 25, 2017",6.68,6.90,6.65,6.87,"7,470,500"
"Sep 22, 2017",6.57,6.75,6.44,6.71,"7,434,900"
"Sep 21, 2017",6.34,6.54,6.34,6.48,"5,434,700"
"Sep 20, 2017",6.01,6.33,6.01,6.33,"5,386,400"
"Sep 19, 2017",6.05,6.08,5.96,6.01,"6,638,100"
"Sep 18, 2017",6.05,6.09,5.99,6.02,"5,274,500"
"Sep 15, 2017",6.05,6.11,5.97,5.97,"8,169,600"
"Sep 14, 2017",6.24,6.29,5.85,6.02,"20,917,500"
"Sep 13, 2017",6.22,6.52,6.20,6.47,"4,274,900"
"Sep 12, 2017",6.14,6.36,6.14,6.26,"4,060,100"
"Sep 11, 2017",6.19,6.32,6.14,6.21,"3,453,000"
"Sep 08, 2017",6.22,6.27,6.11,6.13,"2,971,200"
"Sep 07, 2017",6.27,6.28,6.18,6.22,"3,263,600"
"Sep 06, 2017",6.35,6.36,6.27,6.31,"2,608,800"
"Sep 05, 2017",6.40,6.41,6.25,6.32,"3,485,300"
"Sep 01, 2017",6.41,6.45,6.25,6.43,"3,492,600"
"Aug 31, 2017",6.20,6.42,6.16,6.40,"5,006,900"
"Aug 30, 2017",6.22,6.26,6.16,6.18,"3,887,900"
"Aug 29, 2017",6.20,6.29,6.16,6.23,"3,644,900"
"Aug 28, 2017",6.19,6.28,6.14,6.28,"3,131,100"
"Aug 25, 2017",6.30,6.31,6.13,6.13,"2,826,000"
"Aug 24, 2017",6.12,6.30,6.07,6.30,"4,021,100"
"Aug 23, 2017",6.10,6.18,6.06,6.13,"2,577,900"
"Aug 22, 2017",6.16,6.20,6.09,6.19,"2,590,500"
"Aug 21, 2017",6.13,6.14,6.00,6.14,"3,102,400"
"Aug 18, 2017",6.07,6.19,5.91,6.12,"6,288,600"
"Aug 17, 2017",6.03,6.14,5.85,5.88,"5,130,900"
"Aug 16, 2017",6.11,6.15,6.01,6.06,"4,223,200"
"Aug 15, 2017",6.16,6.18,6.05,6.09,"3,552,600"
"Aug 14, 2017",6.34,6.38,6.13,6.16,"3,852,500"
"Aug 11, 2017",6.16,6.25,6.04,6.24,"4,707,800"
"Aug 10, 2017",6.32,6.38,6.11,6.11,"6,817,500"
"Aug 09, 2017",6.15,6.54,6.04,6.43,"7,141,600"
"Aug 08, 2017",6.31,6.34,6.10,6.14,"4,837,300"
"Aug 07, 2017",6.23,6.39,6.22,6.32,"3,369,400"
"Aug 04, 2017",6.14,6.25,6.04,6.20,"4,107,600"
"Aug 03, 2017",6.18,6.27,6.11,6.15,"2,719,600"
"Aug 02, 2017",6.24,6.25,6.10,6.12,"3,775,200"
"Aug 01, 2017",6.50,6.51,6.19,6.19,"4,474,600"
"Jul 31, 2017",6.36,6.48,6.29,6.45,"3,727,200"
"Jul 28, 2017",6.29,6.39,6.23,6.31,"2,956,700"
"Jul 27, 2017",6.45,6.49,6.28,6.32,"5,114,000"
"Jul 26, 2017",6.40,6.43,6.31,6.41,"2,322,800"
"Jul 25, 2017",6.45,6.50,6.38,6.40,"3,035,500"
"Jul 24, 2017",6.56,6.56,6.38,6.44,"2,776,700"
"Jul 21, 2017",6.48,6.66,6.43,6.59,"3,722,700"
"Jul 20, 2017",6.57,6.57,6.35,6.42,"3,936,800"
"Jul 19, 2017",6.24,6.62,6.24,6.56,"5,262,300"
"Jul 18, 2017",6.03,6.26,6.03,6.25,"4,726,800"
"Jul 17, 2017",6.10,6.12,6.00,6.05,"4,148,000"
"Jul 14, 2017",6.25,6.28,6.10,6.13,"2,933,500"
"Jul 13, 2017",6.10,6.29,6.01,6.25,"4,164,800"
"Jul 12, 2017",6.15,6.19,6.04,6.10,"4,224,000"
"Jul 11, 2017",6.14,6.20,6.05,6.17,"4,697,500"
"Jul 10, 2017",6.39,6.40,6.16,6.18,"4,486,700"
"Jul 07, 2017",6.33,6.39,6.29,6.38,"2,346,700"
"Jul 06, 2017",6.30,6.39,6.22,6.31,"4,019,200"
"Jul 05, 2017",6.38,6.47,6.29,6.35,"6,789,500"
"Jul 03, 2017",6.53,6.67,6.40,6.43,"3,466,600"
"Jun 30, 2017",6.64,6.71,6.54,6.58,"2,904,000"
"Jun 29, 2017",6.90,6.91,6.58,6.64,"3,308,100"
"Jun 28, 2017",6.79,6.88,6.73,6.86,"2,922,500"
"Jun 27, 2017",7.11,7.17,6.70,6.70,"5,453,800"
"Jun 26, 2017",6.99,7.25,6.98,7.10,"4,348,700"
"Jun 23, 2017",6.72,6.99,6.71,6.99,"8,520,400"
"Jun 22, 2017",7.07,7.09,6.64,6.69,"8,389,900"
"Jun 21, 2017",6.77,7.10,6.77,7.08,"5,615,100"
"Jun 20, 2017",6.59,6.87,6.53,6.70,"3,875,000"
"Jun 19, 2017",6.58,6.68,6.51,6.59,"4,440,600"
"Jun 16, 2017",6.49,6.53,6.38,6.53,"3,928,800"
"Jun 15, 2017",6.40,6.56,6.31,6.45,"3,887,100"
"Jun 14, 2017",6.50,6.58,6.49,6.52,"1,777,900"
"Jun 13, 2017",6.51,6.61,6.48,6.52,"2,264,700"
"Jun 12, 2017",6.39,6.60,6.36,6.54,"3,387,200"
"Jun 09, 2017",6.29,6.49,6.25,6.38,"3,393,800"
"Jun 08, 2017",6.25,6.35,6.24,6.26,"1,793,500"
"Jun 07, 2017",6.34,6.40,6.20,6.24,"3,238,300"
"Jun 06, 2017",6.27,6.44,6.18,6.39,"3,294,200"
"Jun 05, 2017",6.61,6.65,6.25,6.29,"7,095,700"
"Jun 02, 2017",6.44,6.76,6.39,6.71,"6,366,400"
"Jun 01, 2017",6.12,6.42,5.99,6.42,"7,934,000"
"May 31, 2017",6.29,6.33,6.07,6.14,"5,671,700"
"May 30, 2017",6.31,6.34,6.25,6.28,"2,473,800"
"May 26, 2017",6.41,6.41,6.26,6.33,"2,868,000"
"May 25, 2017",6.43,6.53,6.34,6.35,"3,141,500"
"May 24, 2017",6.48,6.50,6.37,6.44,"3,449,200"
"May 23, 2017",6.58,6.66,6.52,6.54,"1,979,700"
"May 22, 2017",6.59,6.60,6.37,6.52,"4,235,800"
"May 19, 2017",6.65,6.65,6.54,6.61,"2,895,500"
"May 18, 2017",6.72,6.75,6.56,6.60,"4,192,800"
"May 17, 2017",6.50,6.75,6.46,6.64,"6,851,900"
"May 16, 2017",6.79,6.81,6.55,6.60,"6,558,200"
"May 15, 2017",7.14,7.25,6.74,6.80,"7,642,800"
"May 12, 2017",7.05,7.21,6.97,7.19,"4,274,200"
"May 11, 2017",6.85,7.27,6.85,7.07,"6,855,600"
"May 10, 2017",6.77,7.10,6.65,7.00,"17,472,600"
"May 09, 2017",7.25,7.53,7.17,7.53,"4,862,900"
"May 08, 2017",7.57,7.57,7.17,7.25,"5,422,400"
"May 05, 2017",7.55,7.59,7.46,7.51,"2,437,300"
"May 04, 2017",7.54,7.56,7.41,7.55,"1,711,100"
"May 03, 2017",7.60,7.63,7.49,7.52,"1,545,600"
"May 02, 2017",7.59,7.66,7.43,7.65,"3,159,400"
"May 01, 2017",7.82,7.82,7.53,7.56,"2,572,800"
"Apr 28, 2017",7.81,7.85,7.75,7.77,"1,682,100"
"Apr 27, 2017",7.79,7.87,7.73,7.83,"1,890,100"
"Apr 26, 2017",7.78,7.88,7.76,7.83,"2,625,900"
"Apr 25, 2017",7.56,7.90,7.52,7.83,"3,486,500"
"Apr 24, 2017",7.61,7.63,7.41,7.58,"3,007,900"
"Apr 21, 2017",7.65,7.65,7.40,7.47,"2,281,700"
"Apr 20, 2017",7.60,7.65,7.46,7.63,"3,385,200"
"Apr 19, 2017",7.16,7.59,7.11,7.52,"5,421,300"
"Apr 18, 2017",7.38,7.40,7.11,7.11,"5,941,800"
"Apr 17, 2017",7.62,7.62,7.41,7.46,"2,603,800"
"Apr 13, 2017",7.64,7.66,7.51,7.62,"3,044,700"
"Apr 12, 2017",7.55,7.77,7.53,7.66,"2,927,400"
"Apr 11, 2017",7.59,7.67,7.45,7.55,"4,562,300"
"Apr 10, 2017",7.62,7.69,7.57,7.59,"2,686,200"
"Apr 07, 2017",7.60,7.76,7.51,7.59,"4,399,300"
"Apr 06, 2017",7.63,7.66,7.52,7.61,"3,810,900"
"Apr 05, 2017",7.73,7.85,7.60,7.61,"4,204,700"
"Apr 04, 2017",7.69,7.83,7.68,7.73,"2,535,600"
"Apr 03, 2017",8.00,8.04,7.73,7.75,"4,587,500"
"Mar 31, 2017",7.99,8.05,7.94,8.00,"1,989,800"
"Mar 30, 2017",8.06,8.13,7.96,7.97,"2,928,200"
"Mar 29, 2017",8.26,8.26,8.08,8.11,"3,189,400"
"Mar 28, 2017",8.08,8.40,8.06,8.31,"4,239,200"
"Mar 27, 2017",7.81,8.15,7.77,8.14,"3,258,400"
"Mar 24, 2017",7.70,7.93,7.68,7.85,"2,826,500"
"Mar 23, 2017",7.80,7.83,7.65,7.65,"3,441,000"
"Mar 22, 2017",7.97,7.98,7.77,7.86,"3,081,400"
"Mar 21, 2017",8.00,8.02,7.69,7.86,"5,739,700"
"Mar 20, 2017",8.16,8.20,7.94,8.00,"2,796,000"
"Mar 17, 2017",8.48,8.51,8.03,8.12,"10,586,800"
"Mar 16, 2017",8.14,8.39,8.13,8.36,"5,903,700"
"Mar 15, 2017",8.08,8.14,8.01,8.09,"4,077,000"
"Mar 14, 2017",8.14,8.54,7.96,8.07,"13,598,800"
"Mar 13, 2017",7.95,8.04,7.85,7.92,"2,979,400"
"Mar 10, 2017",7.89,7.98,7.87,7.95,"3,243,100"
"Mar 09, 2017",7.97,8.08,7.77,7.85,"4,697,400"
"Mar 08, 2017",7.99,8.05,7.85,7.92,"4,575,200"
"Mar 07, 2017",7.60,7.97,7.59,7.77,"6,020,700"
"Mar 06, 2017",7.57,7.65,7.40,7.61,"6,069,500"
"Mar 03, 2017",7.53,7.75,7.35,7.45,"8,581,700"
"Mar 02, 2017",8.01,8.02,7.13,7.43,"16,588,600"
