Time,Open,High,Low,Close,Volume
"Mar 01, 2018",94.02,94.76,92.02,93.64,"2,603,200"
"Feb 28, 2018",93.86,95.51,93.13,93.20,"1,646,700"
"Feb 27, 2018",94.46,94.95,93.58,93.74,"1,943,400"
"Feb 26, 2018",96.01,96.36,93.43,94.69,"1,476,900"
"Feb 23, 2018",94.08,95.16,93.50,95.12,"620,500"
"Feb 22, 2018",92.86,94.64,92.74,93.21,"659,100"
"Feb 21, 2018",93.84,95.09,92.81,92.85,"1,790,800"
"Feb 20, 2018",92.27,94.90,92.03,93.68,"1,525,100"
"Feb 16, 2018",95.89,96.00,92.57,92.64,"2,278,400"
"Feb 15, 2018",93.03,97.27,92.78,96.35,"2,710,700"
"Feb 14, 2018",88.69,92.95,88.36,92.35,"2,349,300"
"Feb 13, 2018",88.24,89.82,88.09,88.78,"1,075,100"
"Feb 12, 2018",87.62,89.60,87.20,88.68,"1,149,900"
"Feb 09, 2018",86.50,88.67,82.63,86.83,"2,186,200"
"Feb 08, 2018",89.60,90.21,85.39,85.94,"2,140,000"
"Feb 07, 2018",88.64,90.89,88.01,89.11,"1,541,100"
"Feb 06, 2018",87.09,91.18,86.32,88.92,"2,451,100"
"Feb 05, 2018",90.11,93.09,87.26,89.59,"2,054,000"
"Feb 02, 2018",92.25,92.54,90.77,91.23,"1,224,300"
"Feb 01, 2018",92.31,92.81,91.01,92.35,"1,801,300"
"Jan 31, 2018",91.96,93.06,91.47,92.37,"1,200,400"
"Jan 30, 2018",90.40,91.55,89.37,90.79,"1,324,900"
"Jan 29, 2018",92.95,93.18,91.12,91.51,"852,000"
"Jan 26, 2018",92.79,93.10,91.87,92.47,"1,221,800"
"Jan 25, 2018",93.00,93.23,91.44,91.85,"878,500"
"Jan 24, 2018",92.70,93.68,91.69,92.16,"1,648,000"
"Jan 23, 2018",91.18,92.99,91.18,92.42,"838,600"
"Jan 22, 2018",90.14,91.53,89.68,91.41,"749,600"
"Jan 19, 2018",91.63,91.90,89.77,89.94,"1,212,400"
"Jan 18, 2018",90.97,92.10,90.33,91.43,"1,148,700"
"Jan 17, 2018",87.35,90.90,87.35,90.57,"1,677,300"
"Jan 16, 2018",90.42,90.92,86.33,87.13,"1,420,700"
"Jan 12, 2018",89.90,89.90,88.64,89.64,"1,407,300"
"Jan 11, 2018",89.22,90.15,88.55,89.45,"1,023,400"
"Jan 10, 2018",89.00,89.22,88.11,88.97,"957,100"
"Jan 09, 2018",90.14,90.46,88.11,89.47,"1,097,600"
"Jan 08, 2018",88.58,90.69,88.20,89.98,"1,792,900"
"Jan 05, 2018",88.69,88.69,87.64,87.88,"1,408,500"
"Jan 04, 2018",88.58,88.70,86.50,87.95,"1,713,700"
"Jan 03, 2018",87.23,88.55,86.14,88.16,"2,084,900"
"Jan 02, 2018",83.34,87.43,82.96,86.63,"2,391,300"
"Dec 29, 2017",82.26,83.26,82.24,82.84,"793,400"
"Dec 28, 2017",82.66,82.84,81.91,82.29,"662,400"
"Dec 27, 2017",82.30,82.93,81.90,82.59,"776,800"
"Dec 26, 2017",82.35,82.48,81.65,82.27,"627,900"
"Dec 22, 2017",84.00,84.00,82.18,82.75,"792,600"
"Dec 21, 2017",83.92,84.30,83.29,83.91,"1,082,200"
"Dec 20, 2017",84.27,84.44,81.76,83.62,"1,079,900"
"Dec 19, 2017",83.50,84.50,82.68,84.21,"1,131,400"
"Dec 18, 2017",82.63,84.44,82.58,83.54,"1,717,900"
"Dec 15, 2017",81.18,83.88,80.61,82.46,"2,422,900"
"Dec 14, 2017",80.50,83.05,80.07,81.19,"2,721,500"
"Dec 13, 2017",79.78,80.91,79.68,80.44,"1,298,900"
"Dec 12, 2017",81.32,81.53,79.21,80.17,"1,969,900"
"Dec 11, 2017",80.35,81.90,80.11,81.39,"2,122,300"
"Dec 08, 2017",80.94,81.56,79.71,80.42,"2,079,200"
"Dec 07, 2017",81.01,81.71,80.25,80.55,"1,416,600"
"Dec 06, 2017",77.60,80.54,77.44,80.45,"1,821,500"
"Dec 05, 2017",77.30,78.62,77.06,78.01,"1,634,600"
"Dec 04, 2017",80.56,81.02,76.89,77.68,"2,693,800"
"Dec 01, 2017",80.29,81.14,78.17,79.70,"1,569,500"
"Nov 30, 2017",79.33,80.58,78.52,80.09,"1,734,200"
"Nov 29, 2017",81.57,82.37,78.42,79.49,"2,699,100"
"Nov 28, 2017",82.57,82.84,81.11,81.42,"2,471,000"
"Nov 27, 2017",84.00,84.52,81.82,82.09,"2,068,400"
"Nov 24, 2017",83.76,84.47,83.57,84.10,"584,100"
"Nov 22, 2017",83.78,84.59,83.16,83.53,"1,422,800"
"Nov 21, 2017",81.32,84.88,81.26,83.78,"3,394,700"
"Nov 20, 2017",81.04,81.70,80.39,81.35,"3,605,700"
"Nov 17, 2017",79.04,81.99,78.22,81.70,"13,219,800"
"Nov 16, 2017",68.30,69.89,68.30,69.30,"3,691,900"
"Nov 15, 2017",68.00,68.45,67.01,67.73,"1,198,700"
"Nov 14, 2017",67.51,68.80,67.39,68.35,"1,847,600"
"Nov 13, 2017",69.75,70.25,67.68,67.74,"2,061,000"
"Nov 10, 2017",70.36,70.96,69.71,69.74,"1,847,800"
"Nov 09, 2017",70.33,71.46,69.36,70.78,"1,460,400"
"Nov 08, 2017",68.10,71.31,67.91,71.16,"2,555,800"
"Nov 07, 2017",68.69,69.24,67.74,68.00,"856,900"
"Nov 06, 2017",67.63,69.11,67.63,68.41,"1,065,600"
"Nov 03, 2017",65.88,67.67,65.73,67.63,"999,700"
"Nov 02, 2017",66.60,66.96,66.17,66.55,"997,800"
