Time,Open,High,Low,Close,Volume
"Mar 01, 2018",345.01,348.67,330.07,330.93,"6,851,200"
"Feb 28, 2018",352.57,355.24,342.22,343.06,"6,069,700"
"Feb 27, 2018",356.25,359.99,350.01,350.99,"4,797,400"
"Feb 26, 2018",353.50,359.00,352.36,357.42,"4,340,000"
"Feb 23, 2018",347.83,354.99,347.10,352.05,"5,817,400"
"Feb 22, 2018",335.53,347.44,334.75,346.17,"6,969,800"
"Feb 21, 2018",336.03,339.69,333.17,333.30,"3,219,600"
"Feb 20, 2018",334.47,340.84,331.50,334.77,"4,009,400"
"Feb 16, 2018",332.50,343.12,331.64,335.49,"5,642,600"
"Feb 15, 2018",324.50,334.12,322.40,334.07,"5,912,900"
"Feb 14, 2018",320.84,326.17,318.52,322.31,"3,950,700"
"Feb 13, 2018",315.02,324.19,312.51,323.66,"4,560,200"
"Feb 12, 2018",316.13,318.08,306.25,315.73,"6,227,800"
"Feb 09, 2018",319.93,320.98,294.76,310.42,"12,933,700"
"Feb 08, 2018",343.31,348.62,314.60,315.23,"10,314,600"
"Feb 07, 2018",338.99,346.00,335.66,345.00,"6,969,200"
"Feb 06, 2018",325.21,336.22,323.50,333.97,"5,088,400"
"Feb 05, 2018",337.97,344.47,333.00,333.13,"4,464,100"
"Feb 02, 2018",348.44,351.95,340.51,343.75,"3,704,800"
"Feb 01, 2018",351.00,359.66,348.63,349.25,"4,197,700"
"Jan 31, 2018",347.51,356.19,345.19,354.31,"6,214,100"
"Jan 30, 2018",345.14,348.27,342.17,345.82,"4,717,700"
"Jan 29, 2018",339.85,350.85,338.28,349.53,"4,747,100"
"Jan 26, 2018",341.50,344.00,335.71,342.85,"4,539,400"
"Jan 25, 2018",348.27,349.20,336.40,337.64,"6,740,300"
"Jan 24, 2018",354.58,354.75,343.52,345.89,"5,287,500"
"Jan 23, 2018",360.00,360.50,351.00,352.79,"5,465,400"
"Jan 22, 2018",349.40,357.83,349.20,351.56,"6,210,400"
"Jan 19, 2018",345.00,350.59,342.60,350.02,"4,888,300"
"Jan 18, 2018",345.67,352.30,343.74,344.57,"5,685,800"
"Jan 17, 2018",340.47,349.00,339.75,347.16,"7,103,500"
"Jan 16, 2018",337.54,345.00,334.80,340.06,"6,474,300"
"Jan 12, 2018",338.63,340.41,333.67,336.22,"4,825,100"
"Jan 11, 2018",335.24,344.81,333.26,337.95,"6,645,500"
"Jan 10, 2018",332.20,337.00,330.00,334.80,"4,309,900"
"Jan 09, 2018",335.16,338.80,327.40,333.69,"7,146,600"
"Jan 08, 2018",316.00,337.02,315.50,336.41,"9,859,400"
"Jan 05, 2018",316.62,317.24,312.00,316.58,"4,591,200"
"Jan 04, 2018",312.87,318.55,305.68,314.62,"9,946,300"
"Jan 03, 2018",321.00,325.25,315.55,317.25,"4,521,500"
"Jan 02, 2018",312.00,322.11,311.00,320.53,"4,352,200"
"Dec 29, 2017",316.18,316.41,310.00,311.35,"3,777,200"
"Dec 28, 2017",311.75,315.82,309.54,315.36,"4,316,300"
"Dec 27, 2017",316.00,317.68,310.75,311.64,"4,712,100"
"Dec 26, 2017",323.83,323.94,316.58,317.29,"4,378,400"
"Dec 22, 2017",329.51,330.92,324.82,325.20,"4,215,800"
"Dec 21, 2017",329.59,333.74,327.21,331.66,"4,385,200"
"Dec 20, 2017",332.69,333.10,325.04,328.98,"5,953,800"
"Dec 19, 2017",340.26,341.49,330.30,331.10,"6,825,000"
"Dec 18, 2017",344.90,346.73,337.58,338.87,"5,476,200"
"Dec 15, 2017",342.04,343.90,335.76,343.45,"6,933,200"
