Time,Open,High,Low,Close,Volume
"Mar 01, 2018",31.95,32.56,31.26,32.24,"25,032,477"
"Feb 28, 2018",31.50,32.85,31.47,31.86,"24,180,100"
"Feb 27, 2018",31.91,32.21,31.26,31.32,"16,544,000"
"Feb 26, 2018",32.70,32.70,31.96,32.16,"15,766,300"
"Feb 23, 2018",32.20,32.69,31.97,32.66,"17,283,400"
"Feb 22, 2018",33.43,33.45,31.63,32.11,"29,184,100"
"Feb 21, 2018",33.03,34.06,32.65,33.38,"29,589,300"
"Feb 20, 2018",32.88,33.57,32.68,32.84,"22,766,700"
"Feb 16, 2018",33.37,33.50,32.68,33.06,"27,901,000"
"Feb 15, 2018",34.03,34.38,33.06,33.61,"32,020,500"
"Feb 14, 2018",32.85,33.98,32.55,33.75,"39,339,200"
"Feb 13, 2018",30.67,33.65,30.64,33.44,"57,653,000"
"Feb 12, 2018",31.44,31.90,30.86,30.95,"37,001,000"
"Feb 09, 2018",30.37,31.81,29.68,31.51,"67,181,200"
"Feb 08, 2018",34.15,35.00,29.71,30.18,"162,434,400"
"Feb 07, 2018",25.83,27.08,25.76,26.91,"48,909,300"
"Feb 06, 2018",24.59,25.58,24.20,25.24,"26,646,500"
"Feb 05, 2018",25.37,26.64,24.10,25.13,"33,918,400"
"Feb 02, 2018",26.56,27.03,25.70,25.92,"32,492,100"
"Feb 01, 2018",25.52,27.33,25.44,27.14,"47,582,600"
"Jan 31, 2018",25.61,26.65,25.14,25.81,"40,451,900"
"Jan 30, 2018",24.83,26.40,24.55,25.62,"52,388,100"
"Jan 29, 2018",24.40,25.55,24.10,25.18,"52,739,600"
"Jan 26, 2018",22.39,24.35,22.30,24.27,"49,683,900"
"Jan 25, 2018",22.50,22.68,22.04,22.16,"15,501,700"
"Jan 24, 2018",22.84,23.05,22.10,22.37,"23,186,500"
"Jan 23, 2018",22.51,23.17,22.41,22.75,"35,321,200"
"Jan 22, 2018",23.17,23.50,22.86,23.32,"23,010,600"
"Jan 19, 2018",24.12,24.22,23.50,23.66,"17,529,700"
"Jan 18, 2018",24.50,24.52,23.72,24.04,"21,118,500"
"Jan 17, 2018",24.84,24.95,24.22,24.56,"17,026,700"
"Jan 16, 2018",25.58,25.71,24.51,24.66,"32,340,700"
"Jan 12, 2018",24.94,25.85,24.93,25.41,"37,046,100"
"Jan 11, 2018",24.30,24.37,23.90,24.35,"11,670,400"
"Jan 10, 2018",24.00,24.42,23.76,24.25,"10,420,700"
"Jan 09, 2018",24.63,24.71,24.07,24.17,"12,587,100"
"Jan 08, 2018",24.37,24.78,23.88,24.59,"17,831,300"
"Jan 05, 2018",24.07,24.57,23.88,24.32,"14,953,200"
"Jan 04, 2018",24.50,24.59,23.69,23.99,"17,653,500"
"Jan 03, 2018",24.56,24.68,24.07,24.45,"12,832,600"
"Jan 02, 2018",24.07,24.57,23.85,24.51,"15,297,200"
"Dec 29, 2017",24.27,24.33,23.91,24.01,"10,393,700"
"Dec 28, 2017",24.25,24.60,24.17,24.31,"9,774,700"
"Dec 27, 2017",24.26,24.54,24.07,24.23,"9,118,100"
"Dec 26, 2017",24.26,24.57,24.13,24.26,"10,123,100"
