date,MACD_Signal,MACD_Hist,MACD
2018-04-09 10:03,4.5152,-1.1809,3.3344
2018-04-09 10:04,4.2124,-1.2111,3.0014
2018-04-09 10:05,3.935,-1.1099,2.8251
2018-04-09 10:06,3.7042,-0.9233,2.7809
2018-04-09 10:07,3.4943,-0.8396,2.6547
2018-04-09 10:08,3.2772,-0.8681,2.4091
2018-04-09 10:09,3.0561,-0.8844,2.1717
2018-04-09 10:10,2.8248,-0.9253,1.8995
2018-04-09 10:11,2.5907,-0.9364,1.6543
2018-04-09 10:12,2.3458,-0.9797,1.366
2018-04-09 10:13,2.1167,-0.9164,1.2003
2018-04-09 10:14,1.8973,-0.8773,1.02
2018-04-09 10:15,1.6704,-0.9077,0.7627
2018-04-09 10:16,1.4511,-0.8772,0.5739
2018-04-09 10:17,1.29,-0.6444,0.6456
2018-04-09 10:18,1.1536,-0.5457,0.6079
2018-04-09 10:19,1.0292,-0.4976,0.5315
2018-04-09 10:20,0.9393,-0.3596,0.5797
2018-04-09 10:21,0.8675,-0.2873,0.5802
2018-04-09 10:22,0.8074,-0.2403,0.5671
2018-04-09 10:23,0.7494,-0.2317,0.5177
2018-04-09 10:24,0.6935,-0.2239,0.4695
2018-04-09 10:25,0.6513,-0.1686,0.4827
2018-04-09 10:26,0.618,-0.133,0.485
2018-04-09 10:27,0.6019,-0.0647,0.5372
2018-04-09 10:28,0.6079,0.0241,0.632
2018-04-09 10:29,0.6388,0.1237,0.7626
2018-04-09 10:30,0.6743,0.142,0.8164
2018-04-09 10:31,0.7097,0.1412,0.8509
2018-04-09 10:32,0.7571,0.1899,0.947
2018-04-09 10:33,0.7951,0.1521,0.9472
2018-04-09 10:34,0.818,0.0913,0.9093
2018-04-09 10:35,0.8137,-0.017,0.7967
2018-04-09 10:36,0.7912,-0.0902,0.7009
2018-04-09 10:37,0.7543,-0.1475,0.6068
2018-04-09 10:38,0.711,-0.173,0.538
2018-04-09 10:39,0.6651,-0.1838,0.4813
2018-04-09 10:40,0.6257,-0.1577,0.468
2018-04-09 10:41,0.5793,-0.1853,0.394
2018-04-09 10:42,0.5298,-0.1982,0.3316
2018-04-09 10:43,0.4833,-0.186,0.2972
2018-04-09 10:44,0.4413,-0.168,0.2733
2018-04-09 10:45,0.4,-0.1653,0.2347
2018-04-09 10:46,0.3665,-0.1337,0.2329
2018-04-09 10:47,0.328,-0.1542,0.1738
2018-04-09 10:48,0.2679,-0.2405,0.0273
2018-04-09 10:49,0.1993,-0.2742,-0.0749
2018-04-09 10:50,0.1351,-0.2569,-0.1218
2018-04-09 10:51,0.0879,-0.1888,-0.101
2018-04-09 10:52,0.0577,-0.1205,-0.0628
2018-04-09 10:53,0.0602,0.0097,0.0698
2018-04-09 10:54,0.0612,0.0042,0.0654
2018-04-09 10:55,0.0419,-0.0773,-0.0354
2018-04-09 10:56,0.017,-0.0997,-0.0828
2018-04-09 10:57,-0.0117,-0.1146,-0.1262
2018-04-09 10:58,-0.0387,-0.1081,-0.1468
2018-04-09 10:59,-0.0548,-0.0642,-0.119
2018-04-09 11:00,-0.0693,-0.0582,-0.1276
2018-04-09 11:01,-0.0937,-0.0975,-0.1912
2018-04-09 11:02,-0.1259,-0.1286,-0.2545
2018-04-09 11:03,-0.1548,-0.1157,-0.2704
2018-04-09 11:04,-0.1801,-0.1013,-0.2815
2018-04-09 11:05,-0.1971,-0.068,-0.2651
