date,ROC
2018-04-09 10:30,1.5391
2018-04-09 10:31,1.4115
2018-04-09 10:32,1.4024
2018-04-09 10:33,1.563
2018-04-09 10:34,1.335
2018-04-09 10:35,1.2805
2018-04-09 10:36,1.2655
2018-04-09 10:37,0.912
2018-04-09 10:38,0.9099
2018-04-09 10:39,1.0294
2018-04-09 10:40,1.129
2018-04-09 10:41,0.9179
2018-04-09 10:42,0.9318
2018-04-09 10:43,0.9969
2018-04-09 10:44,0.8634
2018-04-09 10:45,0.7562
2018-04-09 10:46,0.4596
2018-04-09 10:47,0.3449
2018-04-09 10:48,-0.0379
2018-04-09 10:49,-0.0207
2018-04-09 10:50,-0.0198
2018-04-09 10:51,-0.1346
2018-04-09 10:52,-0.1438
2018-04-09 10:53,-0.1013
2018-04-09 10:54,-0.2679
2018-04-09 10:55,-0.4536
2018-04-09 10:56,-0.4194
2018-04-09 10:57,-0.2723
2018-04-09 10:58,0.0175
2018-04-09 10:59,-0.1984
2018-04-09 11:00,0.0585
2018-04-09 11:01,-0.2006
2018-04-09 11:02,-0.1363
2018-04-09 11:03,-0.0767
2018-04-09 11:04,-0.001
2018-04-09 11:05,-0.119
2018-04-09 11:06,-0.3635
2018-04-09 11:07,-0.277
2018-04-09 11:08,-0.1455
2018-04-09 11:09,-0.2091
2018-04-09 11:10,-0.1194
2018-04-09 11:11,-0.0719
2018-04-09 11:12,-0.0041
2018-04-09 11:13,-0.0787
2018-04-09 11:14,0.033
2018-04-09 11:15,0.1595
2018-04-09 11:16,0.0973
2018-04-09 11:17,-0.1489
2018-04-09 11:18,-0.0495
2018-04-09 11:19,-0.0146
2018-04-09 11:20,-0.1242
2018-04-09 11:21,-0.0757
2018-04-09 11:22,0.0932
2018-04-09 11:23,0.1388
2018-04-09 11:24,0.0403
2018-04-09 11:25,-0.0568
2018-04-09 11:26,-0.0039
2018-04-09 11:27,-0.0926
2018-04-09 11:28,-0.2463
2018-04-09 11:29,-0.3077
2018-04-09 11:30,-0.1569
2018-04-09 11:31,-0.0775
2018-04-09 11:32,-0.0859
2018-04-09 11:33,-0.0631
2018-04-09 11:34,0.0668
2018-04-09 11:35,0.1377
2018-04-09 11:36,0.1183
2018-04-09 11:37,0.0979
2018-04-09 11:38,0.0553
2018-04-09 11:39,0.0504
2018-04-09 11:40,-0.0417
2018-04-09 11:41,0.0756
2018-04-09 11:42,0.0999
2018-04-09 11:43,0.1057
2018-04-09 11:44,0.0805
2018-04-09 11:45,0.1169
2018-04-09 11:46,0.2336
2018-04-09 11:47,0.3521
2018-04-09 11:48,0.4312
2018-04-09 11:49,0.4593
2018-04-09 11:50,0.5303
2018-04-09 11:51,0.4268
2018-04-09 11:52,0.4063
2018-04-09 11:53,0.2675
2018-04-09 11:54,0.3646
2018-04-09 11:55,0.4835
2018-04-09 11:56,0.3581
2018-04-09 11:57,0.4048
2018-04-09 11:58,0.3702
2018-04-09 11:59,0.3812
2018-04-09 12:00,0.4685
2018-04-09 12:01,0.5671
2018-04-09 12:02,0.5647
2018-04-09 12:03,0.4174
2018-04-09 12:04,0.4815
2018-04-09 12:05,0.4831
2018-04-09 12:06,0.5445
2018-04-09 12:07,0.6061
2018-04-09 12:08,0.5935
2018-04-09 12:09,0.719
