Time,Open,High,Low,Close,Volume
"Mar 01, 2018",75.04,75.39,72.91,73.74,"9,719,900"
"Feb 28, 2018",75.91,76.08,74.51,74.85,"8,566,500"
"Feb 27, 2018",77.86,78.00,75.77,76.13,"12,425,700"
"Feb 26, 2018",78.43,78.68,76.72,78.08,"18,350,200"
"Feb 23, 2018",76.50,77.78,76.10,77.76,"16,053,100"
"Feb 22, 2018",75.83,75.99,75.06,75.52,"9,369,200"
"Feb 21, 2018",75.26,76.71,75.04,75.11,"7,147,700"
"Feb 20, 2018",72.83,75.26,72.78,74.59,"5,574,300"
"Feb 16, 2018",74.46,74.98,73.30,73.51,"6,982,200"
"Feb 15, 2018",74.25,74.70,73.23,74.40,"4,274,200"
"Feb 14, 2018",70.88,73.73,70.88,73.66,"8,043,500"
"Feb 13, 2018",70.72,72.44,70.55,71.31,"5,535,300"
"Feb 12, 2018",71.19,71.78,70.27,71.10,"2,653,800"
"Feb 09, 2018",70.57,70.77,67.86,70.48,"6,129,800"
"Feb 08, 2018",72.55,72.78,69.10,69.15,"5,742,000"
"Feb 07, 2018",73.16,74.19,72.10,72.16,"3,373,100"
"Feb 06, 2018",70.02,73.67,69.59,73.53,"7,436,500"
"Feb 05, 2018",72.90,75.38,71.59,72.51,"10,552,400"
"Feb 02, 2018",76.45,76.70,74.17,74.40,"8,327,000"
"Feb 01, 2018",76.48,78.36,75.69,76.01,"8,098,000"
"Jan 31, 2018",79.00,80.56,79.00,79.88,"6,639,200"
"Jan 30, 2018",77.58,79.27,76.76,78.27,"7,326,500"
"Jan 29, 2018",80.00,80.43,78.97,79.34,"9,719,600"
"Jan 26, 2018",79.21,80.45,79.00,80.30,"17,423,400"
"Jan 25, 2018",78.45,78.99,77.32,78.58,"7,840,100"
"Jan 24, 2018",77.13,78.88,76.78,77.81,"6,297,000"
"Jan 23, 2018",74.66,76.76,74.00,76.57,"13,687,700"
"Jan 22, 2018",74.60,74.60,73.58,74.16,"5,015,400"
"Jan 19, 2018",74.39,74.67,73.71,74.36,"7,203,300"
"Jan 18, 2018",73.86,74.71,73.72,74.23,"5,404,600"
"Jan 17, 2018",74.41,74.60,72.86,74.14,"4,933,800"
"Jan 16, 2018",76.44,77.01,73.71,73.92,"7,014,100"
"Jan 12, 2018",76.45,76.59,75.68,75.85,"4,078,400"
"Jan 11, 2018",76.54,76.78,76.04,76.14,"9,457,900"
"Jan 10, 2018",75.76,76.66,75.45,76.51,"14,777,900"
"Jan 09, 2018",77.02,77.23,75.83,76.59,"4,907,400"
"Jan 08, 2018",76.21,76.81,75.98,76.48,"5,287,900"
"Jan 05, 2018",75.08,76.57,74.91,76.49,"6,284,000"
"Jan 04, 2018",74.10,75.22,74.01,74.57,"8,290,900"
"Jan 03, 2018",73.50,73.86,72.77,73.78,"7,401,700"
"Jan 02, 2018",70.77,73.35,70.55,73.13,"11,437,300"
"Dec 29, 2017",69.79,70.13,69.43,69.85,"6,612,700"
"Dec 28, 2017",70.12,70.32,69.51,69.82,"7,556,900"
"Dec 27, 2017",69.77,70.49,69.69,70.06,"6,345,100"
"Dec 26, 2017",70.94,71.39,69.63,69.86,"8,542,800"
"Dec 22, 2017",71.42,71.87,71.22,71.58,"10,979,200"
"Dec 21, 2017",71.00,72.17,70.88,71.59,"9,682,700"
"Dec 20, 2017",70.60,71.05,70.17,70.90,"12,887,800"
"Dec 19, 2017",69.70,70.36,69.38,70.21,"14,655,000"
"Dec 18, 2017",70.54,70.74,69.95,70.14,"6,777,000"
"Dec 15, 2017",69.35,70.54,68.66,70.29,"19,517,600"
"Dec 14, 2017",70.60,70.62,68.84,69.23,"17,077,100"
"Dec 13, 2017",69.80,71.76,69.69,71.24,"17,321,300"
"Dec 12, 2017",71.07,71.15,69.55,69.77,"11,296,200"
"Dec 11, 2017",71.70,72.09,71.15,71.53,"7,359,300"
"Dec 08, 2017",71.00,71.63,70.82,71.25,"7,020,900"
"Dec 07, 2017",69.75,70.64,69.48,70.22,"7,084,600"
"Dec 06, 2017",67.78,69.62,67.36,69.41,"11,646,600"
