Time,Open,High,Low,Close,Volume
"Mar 01, 2018",179.01,180.12,174.41,175.94,"23,201,626"
"Feb 28, 2018",182.30,182.88,178.14,178.32,"18,783,000"
"Feb 27, 2018",184.45,184.70,181.46,181.46,"15,849,800"
"Feb 26, 2018",184.58,185.66,183.22,184.93,"17,599,700"
"Feb 23, 2018",179.90,183.39,179.51,183.29,"19,007,300"
"Feb 22, 2018",178.70,180.21,177.41,178.99,"18,464,200"
"Feb 21, 2018",176.71,181.27,176.40,177.91,"23,200,800"
"Feb 20, 2018",175.77,177.95,175.11,176.01,"21,204,900"
"Feb 16, 2018",178.99,179.88,176.30,177.36,"21,015,600"
"Feb 15, 2018",180.50,180.50,176.84,179.96,"20,922,100"
"Feb 14, 2018",173.45,179.81,173.21,179.52,"28,929,700"
"Feb 13, 2018",175.62,175.97,173.10,173.15,"21,809,400"
"Feb 12, 2018",177.06,177.55,171.84,176.41,"32,092,100"
"Feb 09, 2018",174.76,176.90,167.18,176.11,"39,887,600"
"Feb 08, 2018",181.01,181.84,171.48,171.58,"38,478,300"
"Feb 07, 2018",184.15,185.08,179.95,180.18,"27,601,900"
"Feb 06, 2018",178.57,185.77,177.74,185.31,"37,758,500"
"Feb 05, 2018",186.93,190.61,180.61,181.26,"33,128,200"
"Feb 02, 2018",192.04,194.21,189.98,190.28,"26,677,500"
"Feb 01, 2018",188.22,195.32,187.89,193.09,"54,211,300"
"Jan 31, 2018",188.37,189.83,185.22,186.89,"43,275,100"
"Jan 30, 2018",187.62,188.18,181.84,187.12,"20,858,600"
"Jan 29, 2018",188.75,188.84,185.63,185.98,"20,453,200"
"Jan 26, 2018",187.75,190.00,186.81,190.00,"17,759,200"
"Jan 25, 2018",187.95,188.62,186.60,187.48,"17,377,700"
"Jan 24, 2018",189.89,190.66,186.52,186.55,"24,334,500"
"Jan 23, 2018",186.05,189.55,185.55,189.35,"25,678,800"
"Jan 22, 2018",180.80,185.39,180.41,185.37,"21,059,500"
