Time,Open,High,Low,Close,Volume
"Mar 01, 2018",292.75,295.25,283.83,290.39,"11,816,300"
"Feb 28, 2018",293.10,295.75,290.78,291.38,"7,653,500"
"Feb 27, 2018",294.77,297.36,290.59,290.61,"9,416,500"
"Feb 26, 2018",288.75,295.65,287.01,294.16,"10,268,600"
"Feb 23, 2018",281.00,286.00,277.81,285.93,"7,301,800"
"Feb 22, 2018",283.88,284.50,274.45,278.14,"8,891,500"
"Feb 21, 2018",282.07,286.64,280.01,281.04,"9,371,100"
"Feb 20, 2018",277.74,285.81,276.61,278.55,"7,769,000"
"Feb 16, 2018",278.73,281.96,275.69,278.52,"8,312,400"
"Feb 15, 2018",270.03,280.50,267.63,280.27,"10,759,700"
"Feb 14, 2018",260.47,269.88,260.33,266.00,"10,972,000"
"Feb 13, 2018",257.29,261.41,254.70,258.27,"6,855,200"
"Feb 12, 2018",252.14,259.15,249.00,257.95,"8,534,900"
"Feb 09, 2018",253.85,255.80,236.11,249.47,"16,906,900"
"Feb 08, 2018",267.08,267.62,250.00,250.10,"9,306,700"
"Feb 07, 2018",266.58,272.45,264.33,264.56,"8,981,500"
"Feb 06, 2018",247.70,266.70,245.00,265.72,"12,595,800"
"Feb 05, 2018",262.00,267.90,250.03,254.26,"11,896,100"
"Feb 02, 2018",263.00,270.62,262.71,267.43,"9,123,600"
"Feb 01, 2018",266.41,271.95,263.38,265.07,"9,669,000"
"Jan 31, 2018",281.94,282.29,269.58,270.30,"11,695,100"
"Jan 30, 2018",277.00,282.73,272.70,278.80,"12,482,900"
"Jan 29, 2018",274.20,286.81,273.92,284.59,"17,529,700"
"Jan 26, 2018",271.49,274.60,268.76,274.60,"11,021,800"
"Jan 25, 2018",263.00,272.30,260.23,269.70,"15,336,400"
"Jan 24, 2018",250.88,261.71,249.31,261.30,"17,352,400"
"Jan 23, 2018",255.05,257.71,248.02,250.29,"27,705,300"
"Jan 22, 2018",222.00,227.79,221.20,227.58,"17,703,300"
"Jan 19, 2018",222.75,223.49,218.50,220.46,"10,548,600"
"Jan 18, 2018",220.34,220.58,216.55,220.33,"8,225,300"
"Jan 17, 2018",221.00,221.15,216.32,217.50,"9,123,100"
"Jan 16, 2018",224.24,226.07,217.20,221.53,"13,516,100"
"Jan 12, 2018",217.18,222.55,216.00,221.23,"8,199,400"
"Jan 11, 2018",214.29,217.75,213.35,217.24,"7,659,500"
"Jan 10, 2018",207.57,213.64,206.91,212.52,"5,951,500"
"Jan 09, 2018",212.11,212.98,208.59,209.31,"6,125,900"
"Jan 08, 2018",210.02,212.50,208.44,212.05,"5,580,200"
"Jan 05, 2018",207.25,210.02,205.59,209.99,"7,033,200"
"Jan 04, 2018",206.20,207.05,204.00,205.63,"6,029,600"
"Jan 03, 2018",202.05,206.21,201.50,205.05,"8,591,400"
"Jan 02, 2018",196.10,201.65,195.42,201.07,"10,966,900"
"Dec 29, 2017",192.51,193.95,191.22,191.96,"5,187,600"
"Dec 28, 2017",187.18,194.49,186.85,192.71,"10,107,400"
"Dec 27, 2017",187.80,188.10,185.22,186.24,"4,002,100"
"Dec 26, 2017",189.78,189.94,186.40,187.76,"3,045,700"
"Dec 22, 2017",188.33,190.95,186.80,189.94,"3,878,900"
"Dec 21, 2017",189.44,190.95,187.58,188.62,"4,729,800"
"Dec 20, 2017",187.94,189.11,185.26,188.82,"6,545,400"
"Dec 19, 2017",190.18,190.30,185.75,187.02,"7,033,000"
"Dec 18, 2017",191.20,191.65,188.90,190.42,"5,011,000"
"Dec 15, 2017",189.61,191.43,188.01,190.12,"7,285,600"
"Dec 14, 2017",187.98,192.64,187.20,189.56,"7,792,800"
"Dec 13, 2017",186.10,188.69,185.41,187.86,"4,710,000"
"Dec 12, 2017",186.01,187.85,184.82,185.73,"4,265,900"
"Dec 11, 2017",187.85,189.42,185.91,186.22,"5,298,600"
"Dec 08, 2017",186.50,189.42,186.30,188.54,"4,987,300"
"Dec 07, 2017",185.71,187.34,183.22,185.20,"4,659,500"
"Dec 06, 2017",183.38,186.48,182.88,185.30,"5,490,100"
"Dec 05, 2017",183.50,188.14,181.19,184.21,"5,783,700"
"Dec 04, 2017",189.36,189.72,178.38,184.04,"9,069,800"
"Dec 01, 2017",186.99,189.80,185.00,186.82,"6,219,500"
"Nov 30, 2017",190.31,190.86,186.68,187.58,"6,630,100"
"Nov 29, 2017",198.91,199.03,184.32,188.15,"14,202,700"
"Nov 28, 2017",195.34,199.68,194.01,199.18,"6,981,100"
"Nov 27, 2017",195.56,195.85,194.00,195.05,"3,210,100"
"Nov 24, 2017",196.65,196.90,195.33,195.75,"2,160,500"
"Nov 22, 2017",196.58,196.75,193.63,196.32,"5,895,400"
"Nov 21, 2017",195.04,197.52,194.97,196.23,"4,787,300"
"Nov 20, 2017",193.30,194.32,191.90,194.10,"3,827,500"
"Nov 17, 2017",195.74,195.95,192.65,193.20,"3,906,300"
"Nov 16, 2017",194.33,197.70,193.75,195.51,"5,678,400"
"Nov 15, 2017",194.54,195.42,191.53,192.12,"4,203,100"
